ASOCIACIÓN ESPAÑOLA DE POWERLIFTING,,,,,,,,,,,,,,,,,,,,
Copa de España de Powerlifting,,,,,,,,,,,,,,,,,,,,
Chiva (Valencia) - 2 de noviembre del 2019 -,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
HOMBRES POWERLIFTING RAW,,,,,,,,,,,,,,,,,,,,
,LEVANTADOR,AÑO,CLUB,PESO,Ord.,SENTADILLAS,,,,PRESS BANCA,,,,PESO MUERTO,,,,TOTAL,pt. IPF,
3º,Amador Rodriguez Fabian,1979,FGNCH,"115,16",44,"225,0","-237,5","-237,5",3,"-140,0","145,0","152,5",2,"220,0","235,0","-255,0",4,"612,5","495,97",
4º,Martínez Romero Jose Antonio,1993,ANDAL,"118,42",46,"175,0","185,0","-190,0",4,"137,5","142,5","145,0",4,"230,0","247,5","262,5",1,"592,5","469,22",
+120kg,,,,,,,,,,,,,,,,,,,,
1º,Vela Maicas Adrian,1994,PSLMC,"133,87",48,"235,0","250,0","260,0",1,"130,0","135,0","-137,5",1,"275,0","292,5","300,0",1,"695,0","527,73",
,,,,,,,,,,,,,,,,,,,,
MEJOR LEVANTADOR RAW a pt. IPF,,,,,,,,,,,,,,,,,Control Antidopaje,,,*
,LEVANTADOR,CLUB,,PESO,,TOTAL,,Pt. IPF,,,,,,,,,,,,
1º,Gomez Rives Andres,IRONT,,"82,00",,"717,5",,"7,359,173",,,Récord:,,,ABS,M2,,,,,
2º,Lopez Cerezo. Jorge,BRSRK,,"82,90",,"662,5",,"6,680,105",,,,,,JUN,M3,,,,,
3º,Tordesillas Villarrubia Jose Manuel,BRSRK,,"72,83",,"597,5",,"6,517,532",,,,,,SBJ,,,,,,
,,,,,,,,,,,,,,,,,,,,
ABREVIATURAS:,,,,,,,,,,,,,,,,,,,,
A-F-A = Altea-Finestrat-L'Alfàs,,,ENRGY = Energy Alhaurín,,,,,,,NIXAR = DeporNixar Almería,,,,,,,,,,
ALFA = Alfa Forjando Atletas Madrid,,,FCFC = Federación Catalana,,,,,,,PGRAN = Powerlifting Granada,,,,,,,,,,
ANDAL = Asociación Andaluza,,,FGNCH = Fuerza Guanche Tenerife,,,,,,,PSLMC = Powerlifting Salamanca,,,,,,,,,,
ARETE = Arete Caravaca Murcia,,,FIA = Fuerza Isabel Atlas Chiva,,,,,,,SIDER = Sideropolis Madrid,,,,,,,,,,
BRSRK = Berserkers Madrid,,,FNORT = Fuerza Norte León,,,,,,,SYPWR = Soy Powerlifter Madrid,,,,,,,,,,
CROM = Crom Gimnasio Madrid,,,IRONT = Iron Team Elche,,,,,,,VILLA = Villamantilla Madrid,,,,,,,,,,
CROSDB = Crossfit DB Madrid,,,MLGPT = Málaga Power Team,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
