CyrillicName,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,TotalKg,WeightClassKg,Event,Equipment,Tested,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Division,BirthDay,Age
Ярослав Ясас,73.80,125,130,-135,,130,75,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Леонид Шарков,73.30,120,-127.5,-127.5,,120,75,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Сергей Фаизов,73.30,110,115,117.5,,117.50,75,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Федор Тельминов,72.90,100,-105,-107.5,,100,75,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Василий Николаев,74.40,120,135,145,,145,75,B,Raw,Yes,,,,,,,,,Amateur Open,1987-11-15,
Илья Макаров,73.60,127.5,135,140,,140,75,B,Raw,Yes,,,,,,,,,Amateur Open,1987-05-21,
Рустам Крапивин,73.70,117.5,-122.5,122.5,,122.50,75,B,Raw,Yes,,,,,,,,,Amateur Open,1984-06-14,
Александр Спицын,73.90,107.5,-117.5,117.5,,117.50,75,B,Raw,Yes,,,,,,,,,Amateur Open,1988-02-03,
Яков Яранцев,73.30,110,115,-117.5,,115,75,B,Raw,Yes,,,,,,,,,Amateur Open,1985-12-20,
Дмитрий Стулов,74.00,110,-117.5,-117.5,,110,75,B,Raw,Yes,,,,,,,,,Amateur Open,1982-10-03,
Николай Малахов,74.30,-100,105,-112.5,,105,75,B,Raw,Yes,,,,,,,,,Amateur Open,1986-08-07,
Александр Катышев,71.30,-137.5,-140,-140,,,75,B,Raw,Yes,,,,,,,,,Amateur Open,1985-02-01,
Вячеслав Мищенко,74.20,110,117.5,122.5,,122.50,75,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Олег Щеголихин,72.80,120,127.5,-135,,127.50,75,B,Raw,Yes,,,,,,,,,Amateur Masters 45-49,45 - 49,
Геннадий Переладов,74.90,80,85,90,,90,75,B,Raw,Yes,,,,,,,,,Amateur Masters 75-79,75 - 79,
Виталий Акиньшин,78.70,-120,120,127.5,,127.50,82.5,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Сергей Крапивин,81.90,100,110,115,,115,82.5,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Виталий Бурков,78.10,105,110,112.5,,112.50,82.5,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Павел Едренкин,81.20,130,140,145,,145,82.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Александр Попов,75.60,120,127.5,-130,,127.50,82.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Артуш Карапетян,82.40,-120,-120,-120,,,82.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Александр Аляев,80.30,160,167.5,-172.5,,167.50,82.5,B,Raw,Yes,,,,,,,,,Amateur Open,1984-07-17,
Валерий Клешня,81.80,145,150,-152.5,,150,82.5,B,Raw,Yes,,,,,,,,,Amateur Open,1981-02-21,
Олег Пушенков,80.50,127.5,145,-150,,145,82.5,B,Raw,Yes,,,,,,,,,Amateur Open,1980-08-24,
Максим Первушин,80.40,135,-145,-145,,135,82.5,B,Raw,Yes,,,,,,,,,Amateur Open,1987-05-22,
Дмитрий Чуркин,81.20,122.5,127.5,130,,130,82.5,B,Raw,Yes,,,,,,,,,Amateur Open,1988-09-18,
Эльдар Цориев,82.20,125,130,135,,135,82.5,B,Raw,Yes,,,,,,,,,Amateur Masters 65-69,65 - 69,
Илья Галкин,83.50,-130,,,,,90,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Вадим Бездыханюк,86.90,127.5,132.5,-140,,132.50,90,B,Raw,Yes,,,,,,,,,Amateur Teen 18-19,18 - 19,
Анатолий Аляев,87.70,180,190,-195,,190,90,B,Raw,Yes,,,,,,,,,Amateur Open,1984-07-17,
Александр Кожевин,89.70,160,167.5,-170,,167.50,90,B,Raw,Yes,,,,,,,,,Amateur Open,1979-05-18,
Алексей Щуров,88.30,145,152.5,155,,155,90,B,Raw,Yes,,,,,,,,,Amateur Open,1980-06-23,
Алексей Миков,87.20,132.5,-152.5,152.5,,152.50,90,B,Raw,Yes,,,,,,,,,Amateur Open,1978-04-26,
Марат Юсупов,89.30,135,145,152.5,,152.50,90,B,Raw,Yes,,,,,,,,,Amateur Open,1984-12-24,
Тимур Бочаров,89.40,140,-155,-155,,140,90,B,Raw,Yes,,,,,,,,,Amateur Open,1980-10-09,
Никита Храмов,89.90,140,-155,-155,,140,90,B,Raw,Yes,,,,,,,,,Amateur Open,1981-07-14,
Максим Храмцов,87.60,120,130,135,,135,90,B,Raw,Yes,,,,,,,,,Amateur Open,1986-01-09,
Сергей Колосов,84.70,-130,-132.5,132.5,132.5,132.50,90,B,Raw,Yes,,,,,,,,,Amateur Open,1988-11-07,
Александр Лысиков,88.10,125,132.5,-137.5,,132.50,90,B,Raw,Yes,,,,,,,,,Amateur Open,1985-08-14,
Сергей Харин,87.70,110,-120,120,,120,90,B,Raw,Yes,,,,,,,,,Amateur Open,1981-06-01,
Виталий Пушкарев,89.00,-115,115,-132.5,,115,90,B,Raw,Yes,,,,,,,,,Amateur Open,1983-05-23,
Алексей Бабкин,88.90,-140,,,,,90,B,Raw,Yes,,,,,,,,,Amateur Open,1981-12-05,
Андрей Расковалов,89.00,-130,,,,,90,B,Raw,Yes,,,,,,,,,Amateur Open,1984-04-30,
Иван Казанцев,89.40,-145,,,,,90,B,Raw,Yes,,,,,,,,,Amateur Masters 45-49,45 - 49,
Владимир Ломацкий,87.90,120,-137.5,-137.5,,120,90,B,Raw,Yes,,,,,,,,,Amateur Masters 55-59,55 - 59,
Илья Булычев,95.70,102.5,107.5,-112.5,,107.50,100,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Михаил Непринцев,97.50,185,192.5,,,192.50,100,B,Raw,Yes,,,,,,,,,Amateur Open,1986-07-01,
Михаил Винокуров,96.50,-170,175,180,,180,100,B,Raw,Yes,,,,,,,,,Amateur Open,1983-03-28,
Дмитрий Карелин,99.80,170,177.5,-182.5,,177.50,100,B,Raw,Yes,,,,,,,,,Amateur Open,1968-09-27,
Юрий Махмудов,94.00,150,157.5,162.5,,162.50,100,B,Raw,Yes,,,,,,,,,Amateur Open,1978-04-26,
Александр Драгилев,96.00,-150,-150,150,,150,100,B,Raw,Yes,,,,,,,,,Amateur Open,1987-05-18,
Владимир Шмидт,94.90,130,140,-145,,140,100,B,Raw,Yes,,,,,,,,,Amateur Open,1985-05-06,
Евгений Батанов,99.20,140,-162.5,-162.5,,140,100,B,Raw,Yes,,,,,,,,,Amateur Open,1981-01-26,
Андрей Оберюхтин,97.50,125,-135,135,,135,100,B,Raw,Yes,,,,,,,,,Amateur Open,1987-10-05,
Игорь Храмцов,98.70,130,-140,-140,,130,100,B,Raw,Yes,,,,,,,,,Amateur Open,1973-04-17,
Иван Добрынин,99.70,-150,,,,,100,B,Raw,Yes,,,,,,,,,Amateur Open,1982-05-22,
Дмитрий Карелин,99.80,170,177.5,-182.5,,177.50,100,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Владимир Белоглазов,100.00,160,172.5,177.5,,177.50,100,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Виктор Пермяков,98.30,140,-162.5,-162.5,,140,100,B,Raw,Yes,,,,,,,,,Amateur Masters 45-49,45 - 49,
Петр Комаров,96.70,-165,-165,165,,165,100,B,Raw,Yes,,,,,,,,,Amateur Masters 50-54,50 - 54,
Анатолий Горелов,97.50,122.5,127.5,137.5,,137.50,100,B,Raw,Yes,,,,,,,,,Amateur Masters 50-54,50 - 54,
Иван Телепов,101.50,65,75,80,,80,110,B,Raw,Yes,,,,,,,,,Amateur Teen 13-19,13-15,
Владимир Мошковский,109.40,180,187.5,-195,,187.50,110,B,Raw,Yes,,,,,,,,,Amateur Open,1973-02-01,
Игорь Карапузов,102.60,157.5,167.5,175,,175,110,B,Raw,Yes,,,,,,,,,Amateur Open,1962-07-29,
Эдуард Чураков,109.50,165,175,-180,,175,110,B,Raw,Yes,,,,,,,,,Amateur Open,1977-02-09,
Алексей Лепехов,105.60,147.5,155,160,,160,110,B,Raw,Yes,,,,,,,,,Amateur Open,1978-05-08,
Виталий Яковчиков,108.50,150,-155,,,150,110,B,Raw,Yes,,,,,,,,,Amateur Open,1976-06-12,
Владимир Мошковский,109.40,180,187.5,-195,,187.50,110,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Александр Беляев,101.80,162.5,172.5,185,,185,110,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Дмитрий Косарев,108.30,170,180,-185,,180,110,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Игорь Карапузов,102.60,157.5,167.5,175,,175,110,B,Raw,Yes,,,,,,,,,Amateur Masters 50-54,50 - 54,
Андрей Шаров,122.50,200,210,217.5,,217.50,125,B,Raw,Yes,,,,,,,,,Amateur Open,1974-02-07,
Алексей Бреднев,115.40,152.5,157.5,,,157.50,125,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Анатолий Лукьянов,116.90,130,140,145,,145,125,B,Raw,Yes,,,,,,,,,Amateur Masters 60-64,60 - 64,
Сергей Худяков,134.20,230,240,-245,,240,140,B,Raw,Yes,,,,,,,,,Amateur Open,1975-09-11,
Антон Генкин,134.10,-200,210,-220,,210,140,B,Raw,Yes,,,,,,,,,Amateur Open,1976-06-05,
Андрей Ларин,137.50,-180,182.5,192.5,,192.50,140,B,Raw,Yes,,,,,,,,,Amateur Open,1986-01-11,
Евгений Кардапольцев,131.00,-165,-165,182.5,,182.50,140,B,Raw,Yes,,,,,,,,,Amateur Open,1979-01-03,
Ольга Наземнова,40.00,35,40,42.5,45,42.50,44,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Анна Шуклина,52.00,50,55,62.5,65,62.50,52,B,Raw,Yes,,,,,,,,,Amateur Teen 13-19,13-15,
Вячеслав Кусочкин,59.50,100,-110,-115,,100,60,B,Raw,Yes,,,,,,,,,Amateur Teen 13-19,13-15,
Сергей Лысяков,67.10,140,145,-152.5,,145,67.5,B,Raw,Yes,,,,,,,,,Amateur Open,1980-04-17,
Дмитрий Быковский,67.30,125,-132.5,132.5,,132.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Open,1987-07-09,
Алексей Сарваев,65.60,-120,125,-132.5,,125,67.5,B,Raw,Yes,,,,,,,,,Amateur Open,1986-01-17,
Александр Копытов,81.90,120,-127.5,127.5,,127.50,82.5,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Сергей Шаронов,78.60,150,160,170,,170,82.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Линар Даутов,82.00,180,190,200,,200,82.5,B,Raw,Yes,,,,,,,,,Amateur Open,1987-02-04,
Стас Невежин,89.10,170,-180,-180,,170,90,B,Raw,Yes,,,,,,,,,Amateur Open,1988-07-25,
Марсель Хусаинов,87.60,165,-175,-175,,165,90,B,Raw,Yes,,,,,,,,,Amateur Open,1984-07-28,
Виктор Титов,89.90,190,-200,-200,,190,90,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Михаил Непринцев,97.50,215,-247.5,247.5,,247.50,100,B,Raw,Yes,,,,,,,,,Amateur Open,1986-07-01,
Андрей Добряков,98.90,225,235,-247.5,,235,100,B,Raw,Yes,,,,,,,,,Amateur Open,1975-04-27,
Андрей Тихомиров,95.30,220,230,-245,,230,100,B,Raw,Yes,,,,,,,,,Amateur Open,1978-09-22,
Кирилл Федосеев,108.80,190,197.5,205,,205,110,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Александр Портной,101.40,180,-190,190,,190,110,B,Raw,Yes,,,,,,,,,Amateur Open,1987-12-13,
Валерий Зайцев,108.60,165,175,-185,,175,110,B,Raw,Yes,,,,,,,,,Amateur Open,1976-01-22,
Евгений Зуев,73.50,-190,-190,-190,,,75,B,Multi-ply,Yes,,,,,,,,,Amateur Open,1985-07-11,
Павел Яговкин,116.70,-260,265,-270,,265,125,B,Multi-ply,Yes,,,,,,,,,Amateur Open,1959-07-27,
Павел Яговкин,116.70,-260,265,-270,,265,125,B,Multi-ply,Yes,,,,,,,,,Amateur Masters 50-54,50 - 54,
Юрий Поляков,134.20,-295,-295,-305,,,140,B,Multi-ply,Yes,,,,,,,,,Amateur Open,1982-04-27,
Екатеринна Пятынина,47.10,35,40,42.5,,200,48,SBD,Raw,Yes,65,70,-72.5,,77.5,82.5,87.5,,Amateur Teen 16-17,16-17,
Рената Бакиева,47.80,35,40,45,,180,48,SBD,Raw,Yes,55,60,65,,65,70,-75,,Amateur Open,1988-07-03,
Ольга Сибирякова,50.20,37.5,42.5,45,,232.50,52,SBD,Raw,Yes,75,80,-85,,100,107.5,-115,,Amateur Teen 16-17,16-17,
Линара Галиуллина,54.60,42.5,45,47.5,,247.50,56,SBD,Raw,Yes,82.5,87.5,90,,100,105,110,,Amateur Open,1988-09-25,
Людмила Киврина,57.60,37.5,42.5,45,,230,60,SBD,Raw,Yes,70,75,80,,90,100,105,,Amateur Open,1981-03-27,
Ольга Долинская,57.90,40,-50,-52.5,,205,60,SBD,Raw,Yes,60,-70,-75,,90,95,105,,Amateur Open,1981-03-11,
Екатерина Кустодынчева,66.60,60,65,-70,,305,67.5,SBD,Raw,Yes,100,110,-115,,130,-140,,,Amateur Open,1986-03-14,
Марина Слесаренко,70.60,42.5,45,47.5,,222.50,75,SBD,Raw,Yes,70,75,80,,90,95,-100,,Amateur Teen 13-19,13-15,
Мария Перцель,84.50,40,42.5,45,,217.50,90,SBD,Raw,Yes,75,77.5,,,95,-102.5,-102.5,,Amateur Open,1982-12-12,
Сергей Коновалов,50.60,75,82.5,-85,,342.50,52,SBD,Raw,Yes,90,100,110,,130,140,150,,Amateur Teen 13-19,13-15,
Сергей Неустроев,66.20,45,50,-55,,225,67.5,SBD,Raw,Yes,60,70,75,,90,100,-110,,Amateur Teen 13-19,13-15,
Артем Зеленин,64.30,90,97.5,105,,325,67.5,SBD,Raw,Yes,90,100,-105,,100,110,120,,Amateur Teen 16-17,16-17,
Иван Каркавин,66.20,85,95,100,,370,67.5,SBD,Raw,Yes,105,110,-115,,130,145,160,,Amateur Open 20-23,20 - 23,
Игорь Филатов,65.60,105,110,115,,450,67.5,SBD,Raw,Yes,140,145,150,,170,180,185,,Amateur Open,1979-03-14,
Ренат Хабибулин,65.80,-120,,,,,67.5,SBD,Raw,Yes,-140,-150,-150,,-155,,,,Amateur Open,1984-06-07,
Дмитрий Митин,73.40,110,115,120,,515,75,SBD,Raw,Yes,160,170,175,,195,207.5,220,,Amateur Open 20-23,20 - 23,
Ярослав Ясас,73.80,-125,125,-130,,480,75,SBD,Raw,Yes,150,155,160,,180,190,195,,Amateur Open 20-23,20 - 23,
Михаил Гридяев,72.80,102.5,105,107.5,,457.50,75,SBD,Raw,Yes,160,165,-170,,165,175,185,,Amateur Open 20-23,20 - 23,
Константин Сиденков,71.60,115,-120,-120,,425,75,SBD,Raw,Yes,120,130,140,,155,170,-175,,Amateur Masters 45-49,45 - 49,
Константин Сгибнев,80.00,90,110,115,,460,82.5,SBD,Raw,Yes,140,150,160,,165,175,185,,Amateur Teen 13-19,13-15,
Игорь Зуев,82.50,130,-137.5,-137.5,,555,82.5,SBD,Raw,Yes,180,190,-195,,220,235,,,Amateur Open 20-23,20 - 23,
Алексей Иродовский,77.40,100,105,-110,,475,82.5,SBD,Raw,Yes,170,175,180,,180,190,-200,,Amateur Open 20-23,20 - 23,
Николай Красиков,76.70,80,85,-90,,357.50,82.5,SBD,Raw,Yes,-115,-115,120,,140,147.5,152.5,,Amateur Open,1987-10-29,
Олег Пушенков,80.50,-140,,,,,82.5,SBD,Raw,Yes,-175,-175,-175,,-175,,,,Amateur Open,1980-08-24,
Александр Фощанка,79.50,-110,,,,,82.5,SBD,Raw,Yes,-160,,,,-160,,,,Amateur Open,1985-04-22,
Григорий Дараган,87.60,95,-97.5,,,415,90,SBD,Raw,Yes,130,140,150,,160,170,-190,,Amateur Teen 18-19,18 - 19,
Семен Лазаренко,88.60,145,152.5,-155,,570,90,SBD,Raw,Yes,185,-195,200,,210,217.5,-225,,Amateur Open,1988-03-02,
Сергей Нечаев,90.00,145,152.5,157.5,,532.50,90,SBD,Raw,Yes,170,180,-185,,185,195,-202.5,,Amateur Open,1971-07-20,
Дмитрий Гущин,89.00,120,125,-130,,510,90,SBD,Raw,Yes,140,150,155,,210,220,230,,Amateur Open,1985-08-27,
Омар Нишонбаев,89.20,122.5,125,-127.5,,490,90,SBD,Raw,Yes,155,-160,160,,190,200,205,,Amateur Open,1984-09-01,
Сергей Нечаев,89.60,145,152.5,157.5,,532.50,90,SBD,Raw,Yes,170,180,-185,,185,195,-202.5,,Amateur Masters 40-44,40 - 44,
Александр Подрядов,86.60,90,-110,110,,430,90,SBD,Raw,Yes,150,-170,170,,150,-202.5,,,Amateur Masters 55-59,55 - 59,
Павел Галуц,100.00,130,140,145,,620,100,SBD,Raw,Yes,220,230,235,,220,240,-250,,Amateur Open,1980-06-05,
Сергей Пермяков,99.20,115,122.5,127.5,,590,100,SBD,Raw,Yes,195,205,210,,230,240,252.5,,Amateur Open,1981-12-19,
Василий Трепач,99.90,130,140,145,,590,100,SBD,Raw,Yes,200,210,215,,210,222.5,230,,Amateur Open,1976-04-29,
Анатолий Кириченко,99.20,102.5,107.5,110,,480,100,SBD,Raw,Yes,162.5,175,177.5,,-172.5,180,192.5,,Amateur Masters 60-64,60 - 64,
Роман Дёмин,108.40,160,172.5,,,692.50,110,SBD,Raw,Yes,230,240,,,260,280,,,Amateur Open,1980-04-24,
Александр Марфицын,109.00,140,145,150,,672.50,110,SBD,Raw,Yes,225,235,240,,260,275,282.5,,Amateur Open,1982-08-23,
Антон Лапин,105.80,150,160,165,,605,110,SBD,Raw,Yes,180,190,200,,220,230,240,,Amateur Open,1985-03-16,
Владимир Мошковский,109.40,170,180,190,,530,110,SBD,Raw,Yes,130,-150,150,,150,170,190,,Amateur Masters 40-44,40 - 44,
Владимир Лопин,123.50,190,200,205,,795,125,SBD,Raw,Yes,-290,-290,290,,290,300,-310,,Amateur Open,1983-01-21,
Асель Устюжанинова,59.90,40,45,50,,240,60,SBD,Raw,Yes,80,-90,90,,90,100,-110,,Amateur Teen 16-17,16-17,
Дмитрий Новоселов,53.50,65,70,75,,300,56,SBD,Raw,Yes,90,100,110,,90,105,115,,Amateur Teen 13-19,13-15,
Рамиль Галиуллин,72.50,85,95,105,,487.50,75,SBD,Raw,Yes,180,-190,195,,165,180,187.5,,Amateur Teen 18-19,18 - 19,
Александр Калинин,98.60,140,150,-160,,610,100,SBD,Raw,Yes,200,-215,220,,200,240,-250,,Amateur Open,1975-05-07,
Роман Дёмин,108.40,200,210,220,,840,110,SBD,Raw,Yes,300,320,,,280,300,-320,,Amateur Open,1980-04-24,
Илья Мошковцев,105.90,180,190,200,,740,110,SBD,Raw,Yes,260,270,,,250,-270,270,,Amateur Open,1987-03-23,
Ирина Тюрина,55.60,,,,,,56,D,Raw,Yes,,,,,-80,,,,Amateur Open,1984-01-01,
Екатерина Кустодынчева,66.60,,,,,130,67.5,D,Raw,Yes,,,,,120,125,130,,Amateur Open,1986-03-14,
Ирина Тюрина,90.00,,,,,105,90,D,Raw,Yes,,,,,80,97.5,105,,Amateur Open,1984-01-01,
Александр Бийков,54.70,,,,,142.50,56,D,Raw,Yes,,,,,-142.5,142.5,-162.5,,Amateur Teen 16-17,16-17,
Илья Григорьев,54.90,,,,,150,56,D,Raw,Yes,,,,,142.5,150,-155,,Amateur Teen 18-19,18 - 19,
Рустам Бикбаев,56.80,,,,,192.50,60,D,Raw,Yes,,,,,172.5,192.5,-200,,Amateur Open 20-23,20 - 23,
Александр Горкун,63.90,,,,,175,67.5,D,Raw,Yes,,,,,165,175,-190,,Amateur Open 20-23,20 - 23,
Дмитрий Стулов,74.00,,,,,205,75,D,Raw,Yes,,,,,185,-202.5,205,,Amateur Open,1982-10-03,
Данил Имаев,81.50,,,,,222.50,82.5,D,Raw,Yes,,,,,190,215,222.5,,Amateur Open,1986-05-31,
Евгений Блинков,89.90,,,,,255,90,D,Raw,Yes,,,,,237.5,255,-267.5,,Amateur Open,1987-09-03,
Алексей Нестеров,87.90,,,,,230,90,D,Raw,Yes,,,,,210,222.5,230,,Amateur Open,1980-05-07,
Иван Хорев,85.10,,,,,210,90,D,Raw,Yes,,,,,-195,205,210,,Amateur Open,1983-12-18,
Сергей Харин,87.70,,,,,205,90,D,Raw,Yes,,,,,170,195,205,,Amateur Open,1981-06-01,
Виталий Пушкарев,89.00,,,,,195,90,D,Raw,Yes,,,,,170,195,,,Amateur Open,1983-05-23,
Василий Трепач,99.90,,,,,220,100,D,Raw,Yes,,,,,205,215,220,,Amateur Open,1976-04-29,
Василий Штоколок,97.20,,,,,210,100,D,Raw,Yes,,,,,180,202.5,210,,Amateur Open,1988-05-07,
Никита Храмов,92.50,,,,,192.50,100,D,Raw,Yes,,,,,140,160,192.5,,Amateur Open,1981-07-14,
Тимур Бочаров,90.80,,,,,175,100,D,Raw,Yes,,,,,150,175,-195,,Amateur Open,1980-10-09,
Александр Марфицин,109.00,,,,,280,110,D,Raw,Yes,,,,,250,265,280,,Amateur Open,1982-08-23,
Михаил Пешляев,116.60,,,,,295,125,D,Raw,Yes,,,,,260,285,295,,Amateur Open 20-23,20 - 23,
Виталий Родионов,116.30,,,,,275,125,D,Raw,Yes,,,,,260,275,-285,,Amateur Open 20-23,20 - 23,
Ирина Пилипишко,58.00,47.5,50,55,,55,60,B,Raw,No,,,,,,,,,Pro Masters 55-59,55 - 59,
Дмитрий Болдин,48.80,52.5,57.5,60,,60,52,B,Raw,No,,,,,,,,,Pro Teen 13-19,13-15,
Алексей Зайцев,58.10,90,95,100,,100,60,B,Raw,No,,,,,,,,,Pro Open,1987-10-17,
Владимир Караваев,72.90,160,165,170,,170,75,B,Raw,No,,,,,,,,,Pro Open,1987-09-03,
Денис Ханаев,70.30,90,100,-107.5,,100,75,B,Raw,No,,,,,,,,,Pro Open,1988-08-31,
Илья Краско,74.90,135,140,-145,,140,75,B,Raw,No,,,,,,,,,Pro Masters 45-49,45 - 49,
Бородин,77.50,95,100,105,,105,82.5,B,Raw,No,,,,,,,,,Pro Teen 16-17,16-17,
Алексей Гусев,80.10,120,127.5,130,,130,82.5,B,Raw,No,,,,,,,,,Pro Teen 18-19,18 - 19,
Максим Крюков,80.80,160,165,170,,170,82.5,B,Raw,No,,,,,,,,,Pro Open,1985-08-02,
Вячеслав Хорев,81.20,-155,,,,,82.5,B,Raw,No,,,,,,,,,Pro Open,1976-12-27,
Илья Галкин,84.00,-132.5,-135,137.5,,137.50,90,B,Raw,No,,,,,,,,,Pro Teen 16-17,16-17,
Рушан Бикташев,87.80,100,-105,-107.5,,100,90,B,Raw,No,,,,,,,,,Pro Teen 18-19,18 - 19,
Денис Логинов,88.80,90,100,110,,110,90,B,Raw,No,,,,,,,,,Pro Open 20-23,20 - 23,
Максим Горнасталев,90.00,207.5,212.5,215,,215,90,B,Raw,No,,,,,,,,,Pro Open,1983-04-09,
Вячеслав Шистеров,90.00,172.5,180,187.5,,187.50,90,B,Raw,No,,,,,,,,,Pro Open,1987-01-05,
Григорий Серебренников,85.70,170,180,185,,185,90,B,Raw,No,,,,,,,,,Pro Open,1973-07-25,
Евгений Аксенов,88.50,160,172.5,-182.5,,172.50,90,B,Raw,No,,,,,,,,,Pro Open,1986-08-03,
Анатолий Кудля,88.20,-100,110,120,,120,90,B,Raw,No,,,,,,,,,Pro Masters 65-69,65 - 69,
Владимир Лымарь,96.20,170,175,180,,180,100,B,Raw,No,,,,,,,,,Pro Open,1987-05-02,
