Place,Name,Division,BodyweightKg,WeightClassKg,BirthDate,BirthYear,Sex,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Equipment,Event,Country
2,Bertrand Rongé,Open,65.75,66,,,M,140.0,-150.0,-150.0,140.0,95.0,100.0,-102.5,100.0,170.0,-175.0,175.0,175.0,415.0,Raw,SBD,Belgium
3,Jasper Obbers,Open,70.75,74,,,M,135.0,145.0,-152.5,145.0,90.0,97.5,-100.0,97.5,175.0,185.0,-190.0,185.0,427.5,Raw,SBD,Belgium
2,Noa Depaepe,Juniors,90.50,93,,,M,130.0,135.0,142.5,142.5,100.0,-110.0,-110.0,100.0,180.0,190.0,200.0,200.0,442.5,Raw,SBD,Belgium
1,Pieter Van Overbeke,Juniors,91.20,93,,,M,145.0,155.0,165.0,165.0,105.0,112.5,-120.0,112.5,180.0,195.0,200.0,200.0,477.5,Raw,SBD,Belgium
2,Alexander Bossaerts,Juniors,73.55,74,,,M,150.0,155.0,160.0,160.0,90.0,95.0,100.0,100.0,190.0,197.5,-200.0,197.5,457.5,Raw,SBD,Belgium
3,Robert Ivanoushkin,Juniors,82.00,83,,,M,165.0,180.0,185.0,185.0,100.0,115.0,-120.0,115.0,185.0,195.0,205.0,205.0,505.0,Raw,SBD,Belgium
4,Gilles De Peuter,Juniors,80.50,83,,,M,167.5,175.0,182.5,182.5,92.5,97.5,-102.5,97.5,192.5,205.0,-225.0,205.0,485.0,Raw,SBD,Belgium
1,Hugo de Grauwe,Masters 3,104.40,105,,,M,-170.0,170.0,,170.0,125.0,135.0,,135.0,200.0,222.5,232.5,232.5,537.5,Raw,SBD,Belgium
1,Rik De Grauwe,Juniors,77.45,83,,,M,170.0,180.0,,180.0,130.0,140.0,-145.0,140.0,200.0,225.0,-235.0,225.0,545.0,Raw,SBD,Belgium
3,Jeroen Leemans,Open,83.00,83,,,M,160.0,-172.5,-172.5,160.0,110.0,117.5,122.5,122.5,200.0,220.0,,220.0,502.5,Raw,SBD,Belgium
1,Audrey De Keersmaeker,Juniors,46.76,47,,,F,,,,,60.0,62.5,64.0,64.0,,,,,64.0,Raw,B,Belgium
1,Jean-Michel De Witte,Open,56.90,59,,,M,,,,,90.0,95.0,-100.0,95.0,,,,,95.0,Raw,B,Belgium
1,Kenny Verbouw,Juniors,57.65,59,,,M,,,,,100.0,105.0,110.0,110.0,,,,,110.0,Raw,B,Belgium
1,Philip Dewilde,Masters 3,104.00,105,,,M,,,,,-100.0,110.0,115.0,115.0,,,,,115.0,Raw,B,Belgium
1,Jean-Marc De Ro,Masters 1,90.70,93,,,M,,,,,110.0,115.0,120.0,120.0,,,,,120.0,Raw,B,Belgium
1,Chesney Goossens,Open,65.35,66,,,M,130.0,135.0,-140.0,135.0,140.0,150.0,-155.0,150.0,155.0,160.0,165.0,165.0,450.0,Raw,SBD,Belgium
5,Fidel Barrios,Open,82.35,83,,,M,150.0,157.5,-160.0,157.5,120.0,-125.0,,120.0,180.0,-190.0,-190.0,180.0,457.5,Raw,SBD,Belgium
7,Andrey Kossarev,Open,83.40,93,,,M,145.0,155.0,165.0,165.0,105.0,112.5,-120.0,112.5,175.0,185.0,195.0,195.0,472.5,Raw,SBD,Belgium
4,Dries Haselaars,Open,79.40,83,,,M,160.0,-170.0,175.0,175.0,125.0,132.5,-137.5,132.5,180.0,-197.5,-207.5,180.0,487.5,Raw,SBD,Belgium
6,Ward Bernaerts,Open,90.00,93,,,M,155.0,-162.5,167.5,167.5,97.5,105.0,107.5,107.5,197.5,205.0,210.0,210.0,485.0,Raw,SBD,Belgium
1,Tim Molkens,Open,73.50,74,,,M,165.0,170.0,-175.0,170.0,120.0,125.0,-130.0,125.0,195.0,207.5,215.0,215.0,510.0,Raw,SBD,Belgium
5,Bart Ceunen,Open,90.25,93,,,M,170.0,185.0,195.0,195.0,125.0,132.5,-137.5,132.5,200.0,210.0,220.0,220.0,547.5,Raw,SBD,Belgium
2,Jasper Pessemier,Open,81.15,83,,,M,165.0,175.0,-180.0,175.0,117.5,-125.0,-125.0,117.5,195.0,210.0,-222.5,210.0,502.5,Raw,SBD,Belgium
1,Wouter Luca,Juniors,73.80,74,,,M,100.0,,,100.0,120.0,125.0,130.0,130.0,210.0,225.0,235.0,235.0,465.0,Raw,SBD,Belgium
3,Dries Vrancken,Open,91.60,93,,,M,180.0,190.0,-195.0,190.0,125.0,130.0,-135.0,130.0,220.0,232.5,-240.0,232.5,552.5,Raw,SBD,Belgium
2,Joris De Saedeleer,Open,103.90,105,,,M,175.0,185.0,195.0,195.0,-140.0,145.0,-150.0,145.0,230.0,240.0,250.0,250.0,590.0,Raw,SBD,Belgium
2,Kristof Custers,Open,73.70,74,,,M,-170.0,180.0,,180.0,115.0,120.0,,120.0,170.0,180.0,,180.0,480.0,Raw,SBD,Belgium
2,Jef Haerinck,Juniors,83.00,83,,,M,-170.0,175.0,182.5,182.5,125.0,135.0,-140.0,135.0,210.0,225.0,,225.0,542.5,Raw,SBD,Belgium
3,Jeroen Van Dun,Open,105.40,120,,,M,200.0,215.0,230.0,230.0,-120.0,130.0,-135.0,130.0,250.0,270.0,,270.0,630.0,Raw,SBD,Belgium
1,Jimmy Van De Wiel,Masters 1,82.80,83,,,M,200.0,205.0,,205.0,150.0,155.0,,155.0,-200.0,210.0,215.0,215.0,575.0,Raw,SBD,Belgium
2,Jonas De Creus,Open,90.80,93,,,M,195.0,-212.5,-212.5,195.0,115.0,120.0,-125.0,120.0,222.5,230.0,240.0,240.0,555.0,Raw,SBD,Belgium
1,Sam Van Ingelgem,Open,90.75,93,,,M,200.0,205.0,210.0,210.0,150.0,-155.0,155.0,155.0,225.0,235.0,-240.0,235.0,600.0,Raw,SBD,Belgium
4,Kevin François,Open,116.00,120,,,M,-210.0,210.0,,210.0,-135.0,-135.0,135.0,135.0,225.0,235.0,-242.5,235.0,580.0,Raw,SBD,Belgium
2,Niko Van den Brande,Open,116.80,120,,,M,240.0,250.0,257.5,257.5,155.0,160.0,165.0,165.0,250.0,262.5,272.5,272.5,695.0,Raw,SBD,Belgium
1,Nour Kuru,Sub-Juniors,99.90,105,,,M,215.0,225.0,235.0,235.0,-115.0,115.0,-130.0,115.0,245.5,-262.5,-275.0,245.5,595.5,Raw,SBD,Belgium
1,Alan Peeters,Open,117.00,120,,,M,250.0,-270.0,-275.0,250.0,195.0,-205.0,,195.0,275.0,295.0,-315.0,295.0,740.0,Raw,SBD,Belgium
1,Sven Laenen,Open,103.00,105,,,M,245.0,,,245.0,-172.5,172.5,-182.5,172.5,-125.0,125.0,,125.0,542.5,Single-ply,SBD,Belgium
1,Bart Van Heesvelde,Open,101.60,105,,,M,200.0,210.0,220.0,220.0,-140.0,140.0,155.0,155.0,-220.0,220.0,,220.0,595.0,Raw,SBD,Belgium
5,Tim Depypere,Open,108.70,120,,,M,170.0,180.0,-187.5,180.0,115.0,-120.0,-120.0,115.0,205.0,,,205.0,500.0,Raw,SBD,Belgium
1,Aaron Messiant,Open,81.65,83,,,M,160.0,-170.0,170.0,170.0,110.0,115.0,117.5,117.5,227.5,,,227.5,515.0,Raw,SBD,Belgium
4,Simon Podevijn,Open,92.20,93,,,M,180.0,,,180.0,130.0,,,130.0,242.5,,,242.5,552.5,Raw,SBD,Belgium
1,Jimmy Van De Wiel,Masters 1,82.8,83,,,M,,,,,140.0,142.5,145.0,145.0,,,,,145.0,Raw,B,Belgium
1,Emmerik Vanhee,Open,87.3,93,,,M,,,,,145.0,157.5,165.0,165.0,,,,,165.0,Raw,B,Belgium
2,Lieven De Saedeleer,Open,101.8,105,,,M,,,,,150.0,160.0,170.0,170.0,,,,,170.0,Raw,B,Belgium
1,Per Gunnar Roalkvam,Masters 1,109.5,120,,,M,,,,,170.0,175.0,-177.5,175.0,,,,,175.0,Single-ply,B,Norway
1,Wouter De Saedeleer,Open,103.6,105,,,M,,,,,185.0,192.5,-200.0,192.5,,,,,192.5,Raw,B,Belgium
2,Simon Podevijn,Open,92.2,93,,,M,,,,,135.0,137.5,,137.5,,,,,137.5,Raw,B,Belgium
