Name,Age,Division,WeightClassKg,BodyweightKg,Bench1Kg,MISS,LIFT SCORE,Bench2Kg,MISS,LIFT SCORE,Bench3Kg,MISS,LIFT SCORE,Bench4Kg,Miss,Best3BenchKg,TotalKg,,PLACING
Shane Judd,38,Men Submaster,100,99.1,342.5,350.5,0,230,,,,255,,,827.5,,,1,
Sean Donegan,36,Men Submaster,125,111.5,345,,,245,,,,0,,,590,,,,
Vincent Scelfo,48,Men Master 45-49 Powerlifting,67.5,65.6,0,,,0,,,,0,,,0,,,,
Martin Hardy,27,Men Open Powerlifting,75,73.6,300,,,190,,,,230,,,720,,,1,
Jesse Soule,30,Men Open Powerlifting,90,88.2,330,,,255,,,,272.5,,,857.5,,,1,
Jeff Rebera,38,Men Open Powerlifting,90,89.6,332.5,,,222.5,,,,272.5,,,827.5,,,2,
Ronnie Paras,44,Men Open Powerlifting,90,89.35,332.5,,,237.5,,,,255,,,825,,,3,
JJ Thomas,25,Men Open Powerlifting,100,92.5,335,,,215,,,,300,,,850,,,1,
Evan Arntzen,33,Men Open Powerlifting,100,99.8,340,,,222.5,,,,260,,,822.5,,,2,
Joe Jordan,32,Men Open Powerlifting,110,108.9,377.5,,,260,,,,275,,,912.5,,,1,
Joe Atef,29,Men Open Powerlifting,110,109.5,352.5,,,242.5,,,,285,,,880,,,2,
Karnaukhov Sergiy,27,Men Open Powerlifting,140,137.5,420,,,280,,,,350,,,1050,,,1,
Robert Bierschbach,38,Men Open Powerlifting,140,136.3,350,,,242.5,,,,285,,,877.5,,,2,
Robert Johnson,41,Men Master 40-44 Powerlifting,140,136.9,320,,,245,,,,255,,,820,,,1,
Bruce (Gary) McCord,45,Men Master 45-49 Powerlifting,100,99.75,250,,,152.5,,,,227.5,,,630,,,1,
Tim Lane,47,Men Master 45-49 Powerlifting,140,132.4,327.5,,,185,,,,287.5,,,800,,,1,
Dick Zenzen,54,Men Master 50-54 Powerlifting,100,99.8,312.5,,,177.5,,,,237.5,,,727.5,,,1,
Michael Sawyer,51,Men Master 50-54 Powerlifting,100,98.6,242.5,,,147.5,,,,237.5,,,627.5,,,2,
Larry Readman,55,Men Master 55-59 Powerlifting,110,107,145,,,125,,,,227.5,,,497.5,,,1,
Anthony Acome,34,Men Open Powerlifting,110,107.4,0,,,0,,,,0,,,0,,,,
Brian Yourist,26,Men Open Powerlifting,125,111.45,300,,,195,,,,260,,,755,,,,
Clint Ewald,28,Men Open Powerlifting,140,133.65,0,,,0,,,,0,,,0,,,,
Phillip Wylie,40,Men Master 40-44 Powerlifting,110,110,0,,,0,,,,0,,,0,,,,
Joe Smolinski,51,Men Master 50-54 Powerlifting,125,112.6,0,,,0,,,,0,,,0,,,,
Skip Sandberg,66,Men Master 65-69 Powerlifting,110,107,0,,,0,,0,,,,,,,,,
