Name,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,Equipment,Event
Jenna Brown,,FR-O,50.5,52,97.5,102.5,107.5,107.5,57.5,62.5,-67.5,62.5,117.5,125,127.5,127.5,297.5,1,F,Raw,SBD
Helena Nixon,,FR-O,50.9,52,60,65,70,70,37.5,40,42.5,42.5,77.5,85,90,90,202.5,2,F,Raw,SBD
Cassandra Marillier,,FR-O,63,63,115,122.5,127.5,127.5,52.5,57.5,-60,57.5,120,130,135,135,320,1,F,Raw,SBD
Leanne Wilson,,FR-O,62.7,63,95,105,110,110,45,50,52.5,52.5,137.5,145,-163,145,307.5,2,F,Raw,SBD
Rachel Hyatt,,FR-O,60.6,63,90,97.5,102.5,102.5,50,52.5,55,55,107.5,115,120,120,277.5,3,F,Raw,SBD
Cat Bryden,,FR-O,60.9,63,90,95,-100,95,45,50,-52.5,50,125,127.5,130,130,275,4,F,Raw,SBD
Ursula Davis,,FR-O,62,63,90,95,100,100,60,62.5,65,65,97.5,105,110,110,275,5,F,Raw,SBD
Elizabeth Fletcher,,FR-O,59.6,63,72.5,77.5,82.5,82.5,35,37.5,40,40,90,97.5,105,105,227.5,6,F,Raw,SBD
Charly Proctor,,FR-O,71.5,72,105,110,115,115,52.5,55,60,60,112.5,120,125,125,300,1,F,Raw,SBD
Natalie Hill,,FR-O,69.3,72,92.5,100,105,105,50,55,57.5,57.5,100,112.5,120,120,282.5,2,F,Raw,SBD
Lisa Marie,,FR-O,65.9,72,65,70,75,75,45,-47.5,47.5,47.5,90,95,100,100,222.5,3,F,Raw,SBD
Sarah Mortimore,,FR-O,64,72,57.5,62.5,67.5,67.5,32.5,35,37.5,37.5,67.5,75,-80,75,180,4,F,Raw,SBD
Lisa White,,FR-O,68.7,72,52.5,57.5,62.5,62.5,30,32.5,-35,32.5,67.5,75,80,80,175,5,F,Raw,SBD
Phoebe Wall Palmer,,FR-O,68.5,72,55,60,65,65,27.5,30,32.5,32.5,65,70,-75,70,167.5,6,F,Raw,SBD
Hannah Riley,,FR-O,81.8,84,112.5,120,125,125,55,57.5,60,60,137.5,145,150,150,335,1,F,Raw,SBD
Emma Louise,,FR-O,78.5,84,97.5,105,110,110,42.5,45,47.5,47.5,117.5,125,130,130,287.5,2,F,Raw,SBD
Stephanie Wilson,,FR-O,83,84,85,90,-95,90,45,47.5,50,50,97.5,105,110,110,250,3,F,Raw,SBD
Sarah Coleman,,FR-O,89.6,84+,90,100,105,105,52.5,60,65,65,120,135,150,150,320,1,F,Raw,SBD
Alice Tucker,,FR-O,89.9,84+,87.5,95,100,100,40,-42.5,-45,40,112.5,120,125,125,265,2,F,Raw,SBD
Lois Ashlea,,FR-O,119.2,84+,87.5,-95,95,95,35,37.5,40,40,107.5,115,120,120,255,3,F,Raw,SBD
Gill Cogdell,,FR-M1,62.8,63,57.5,62.5,67.5,67.5,30,32.5,35,35,77.5,85,90,90,192.5,1,F,Raw,SBD
Kate Parton,,FR-M1,98.6,84+,75,80,85,85,40,42.5,45,45,112.5,120,125,125,255,1,F,Raw,SBD
Emily Eady,,FR-M2,62.9,63,67.5,75,-80,75,40,42.5,45,45,85,90,95,95,215,1,F,Raw,SBD
Tracey Burn,,FR-M2,60.7,63,45,50,-55,50,30,32.5,35,35,85,95,102.5,102.5,187.5,2,F,Raw,SBD
Tracey Smith,,FR-M2,83.3,84,67.5,72.5,77.5,77.5,32.5,35,37.5,37.5,80,87.5,92.5,92.5,207.5,1,F,Raw,SBD
Christine Tempest,,FR-M2,96.1,84+,55,60,65,65,40,45,47.5,47.5,75,90,100,100,212.5,1,F,Raw,SBD
Linzi Waite,,F-O,51.7,52,122.5,-130,130,130,72.5,-77.5,-77.5,72.5,115,125,132.5,132.5,335,1,F,Single-ply,SBD
