Name,Event,Equipment,Country,Sex,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place
Leticia Bertoto,D,Raw,Argentina,F,1971-09-18,M-40/44,74.4,75,,,,,,,,,,,180,190,-195,,190,190,1
Valeria Agüero,D,Raw,Argentina,F,,M-50/54,68.5,75,,,,,,,,,,,175,,,,175,175,1
Laura Tabera,D,Raw,Argentina,F,1975-12-23,Open,76,82.5,,,,,,,,,,,120,130,-140,,130,130,1
Mariela Ortellado,D,Raw,Argentina,F,1985-07-10,Open,93,100,,,,,,,,,,,205,-220,220,-230,220,220,1
Martin Arosteguichar,D,Raw,Argentina,M,1990-08-17,Open,64.9,67.5,,,,,,,,,,,-170,170,185.5,-200,185.5,185.5,1
Martin Arosteguichar,D,Raw,Argentina,M,1990-08-17,Submasters,64.9,67.5,,,,,,,,,,,-170,170,185.5,-200,185.5,185.5,1
Martin San Felice,D,Raw,Argentina,M,,Especial,74,75,,,,,,,,,,,170,185,200,,200,200,1
Gabriel Delgado,D,Raw,Argentina,M,1981-09-19,Open,72.8,75,,,,,,,,,,,200,215,230,-240,230,230,1
Gabriel Delgado,D,Raw,Argentina,M,1981-09-19,Submasters,72.8,75,,,,,,,,,,,200,215,230,-240,230,230,1
Carlos Orellana,D,Raw,Argentina,M,1985-04-15,Open,74.5,75,,,,,,,,,,,160,180,-190,,180,180,2
Horacio Zoilo,D,Raw,Argentina,M,1941-11-17,M-75/79,78.6,82.5,,,,,,,,,,,150,160,170,,170,170,1
David Zerpa,D,Raw,Argentina,M,1991-02-11,Open,77.8,82.5,,,,,,,,,,,180,200,212.5,,212.5,212.5,1
Marcelo Lobo,D,Raw,Argentina,M,1968-08-29,M-45/49,80.5,82.5,,,,,,,,,,,235,-245,-245,,235,235,1
Diogo Arthur Miotto,D,Raw,Brazil,M,1990-03-26,Open,86,90,,,,,,,,,,,230,240,245,250.5,245,245,1
Jose Luis Cañizares,D,Raw,Argentina,M,1978-03-31,Open -,87.7,90,,,,,,,,,,,210,225,,,225,225,1
Walter Diaz,D,Raw,Argentina,M,1973-07-03,M-40/44,90,90,,,,,,,,,,,230,240,250,-255,250,250,1
Fabian Blanco,D,Raw,Argentina,M,1984-06-03,Open,93.8,100,,,,,,,,,,,160,175,182.5,,182.5,182.5,2
Jonatan Bolada,D,Raw,Argentina,M,1983-06-10,Open,99.2,100,,,,,,,,,,,230,242.5,,,242.5,242.5,1
Sergio Corzo,D,Raw,Argentina,M,1971-01-21,M-40/44,108.3,110,,,,,,,,,,,250,260,-265,,260,260,1
Victor Quispe,D,Raw,Argentina,M,1970-09-27,M-45/49,108,110,,,,,,,,,,,190,205,220,235,220,220,1
Sergio Gayoso,D,Raw,Argentina,M,1961-04-17,M-50/54,107.5,110,,,,,,,,,,,200,225,240,,240,240,1
Carlos Campos,D,Raw,Argentina,M,1965-10-02,M-50/54,117.4,125,,,,,,,,,,,170,180,,,180,180,1
Alfredo Rojas,D,Raw,Argentina,M,1985-09-17,Open,116.8,125,,,,,,,,,,,290,305,315,-320,315,315,1
Pablo Lucero,D,Raw,Argentina,M,1985-03-26,Open,139,140,,,,,,,,,,,210,220,-240,,220,220,1
Estela Peña,SBD,Wraps,Argentina,F,1990-04-10,Open,74,75,240,250,260,,260,105,112.5,115,,115,215,225,-235,,225,600,1
Valeria Agüero,SBD,Wraps,Argentina,F,1961-09-15,M-50/54,68.4,75,-175,175,190,,190,125,135,-140,,135,160,,,,160,485,1
Rosangela M.De Santos,SBD,Wraps,Brazil,F,1965-01-04,M-50/54,70.8,75,-110,-110,-110,,,70,80,-90,,80,140,150,160,,160,,DQ
Mariela Ortellado,SBD,Wraps,Argentina,F,1985-07-10,Open,93.5,100,-200,-200,200,-205,200,90,100,-110,-110,100,200,215,-225,,215,515,1
Daniel Ramirez,SBD,Wraps,Argentina,M,1981-08-10,Open,67.4,67.5,130,140,150,,150,110,-120,125,,125,170,180,190,,190,465,1
Daniel Ramirez,SBD,Wraps,Argentina,M,1981-08-10,Submasters,67.4,67.5,130,140,150,,150,110,-120,125,,125,170,180,190,,190,465,1
Rafael Batista Minari,SBD,Wraps,Brazil,M,1997-05-05,T-18/19,61.9,67.5,-140,-140,-140,,,-110,-110,-110,,,-160,160,180,,180,,DQ
Makson Pereira dos Santos,SBD,Wraps,Brazil,M,1992-12-06,Junior,73.3,75,170,190,-210,,190,110,120,122.5,,122.5,170,200,-210,,200,512.5,2
Enzo Lechman,SBD,Wraps,Argentina,M,1994-10-04,Junior,74.1,75,-180,180,-195,,180,-112.5,-120,120,,120,180,190,-200,,190,490,3
Ezequiel Fernandez Uguet,SBD,Wraps,Argentina,M,1993-03-03,Junior,74.8,75,200,220,-230,-230,220,120,-125,-125,,120,-220,220,-235,-235,220,560,1
Carlos Orellana,SBD,Wraps,Argentina,M,1985-04-15,Open,74.8,75,150,160,165,,165,85,92.5,-97.5,,92.5,175,-192.5,-200,,175,432.5,2
Jose Dirie,SBD,Wraps,Argentina,M,1981-01-06,Open,73.2,75,150,155,160,,160,90,-95,95,,95,190,200,-210,,200,455,1
Jose Dirie,SBD,Wraps,Argentina,M,1981-01-06,Submasters,73.2,75,150,155,160,,160,90,-95,95,,95,190,200,-210,,200,455,1
Erik Alex Becker,SBD,Wraps,Argentina,M,,T-13/15,78.9,82.5,100,115,130,,130,90,100,105,,105,150,160,170,,170,405,1
Matías Carrizo,SBD,Wraps,Argentina,M,1996-10-17,T-18/19,78.4,82.5,140,160,165,,165,110,120,-125,,120,175,182.5,190,,190,475,1
Leonel Bole,SBD,Wraps,Argentina,M,1995-05-11,Junior,80.2,82.5,180,190,-200,,190,95,105,110,,110,205,215,-220,,215,515,1
Sergio Romero,SBD,Wraps,Argentina,M,1984-08-16,Open,80.5,82.5,170,-180,-180,,170,-135,-135,135,,135,170,185,-200,,185,490,2
David Zerpa,SBD,Wraps,Argentina,M,1991-02-11,Open,79.2,82.5,180,-200,-200,,180,110,115,-117.5,,115,190,210,-220,,210,505,1
Jose Egües,SBD,Wraps,Argentina,M,1985-07-31,Invitado,79.2,82.5,-260,-260,260,,260,130,140,-150,,140,220,240,-250,,240,640,1
Alan Coria,SBD,Wraps,Argentina,M,1995-10-09,Junior,84.2,90,175,-195,195,,195,120,127.5,130,,130,180,190,197.5,,197.5,522.5,2
Alejo Philip,SBD,Wraps,Argentina,M,1994-12-18,Junior,88.1,90,170,180,-195,,180,105,115,125,,125,200,210,220,227.5,220,525,1
Marcos Silva Fernandes,SBD,Wraps,Brazil,M,1992-10-08,Junior,88,90,160,180,-185,,180,80,90,100,,100,170,190,-200,,190,470,3
Marcos Cabezas,SBD,Wraps,Argentina,M,1978-11-23,Open,88.7,90,240,250,-260,,250,-152.5,152.5,160,,160,215,230,242.5,,242.5,652.5,2
Marcos Cabezas,SBD,Wraps,Argentina,M,1978-11-23,Submasters,88.7,90,240,250,-260,,250,-152.5,152.5,160,,160,215,230,242.5,,242.5,652.5,1
Jose Luis Cañizares,SBD,Wraps,Argentina,M,1978-03-31,Open,88.6,90,220,235,240,,240,170,185,-192.5,,185,210,225,232.5,,232.5,657.5,1
Nicolas Quirolan,SBD,Wraps,Argentina,M,1972-11-05,M-40/44,86.3,90,230,-240,-240,,230,150,160,-165,,160,225,235,240,,240,630,2
Daniel Sánchez,SBD,Wraps,Argentina,M,1973-11-21,M-40/44,88.2,90,250,275,300.5,,300.5,150,165,173,,173,220,250,257.5,,257.5,731,1
Pablo Davalos,SBD,Wraps,Argentina,M,1966-03-14,M-45/49,86.6,90,85,90,105,,105,75,80,-90,,80,135,145,150,,150,335,1
Juan Jose Ales,SBD,Wraps,Argentina,M,1957-03-09,M-55/59,89.8,90,170,180,190,,190,125,130,-140,,130,160,170,185,,185,505,1
Gaston Cabral,SBD,Wraps,Argentina,M,1996-12-25,T-18/19,95.5,100,180,200,207.5,,207.5,150,165,-170,,165,200,210,220,,220,592.5,1
Dione Cesar Teodoro,SBD,Wraps,Brazil,M,1992-01-12,Junior,99.8,100,215,-235,235,,235,150,160,165,,165,225,250,260,,260,660,1
Ramon Machado,SBD,Wraps,Argentina,M,1989-03-28,Open,100,100,170,-185,185,,185,135,145,150,,150,215,230,-232.5,,230,565,2
Matías Santa Cruz,SBD,Wraps,Argentina,M,1987-09-19,Open,91.9,100,200,215,230,,230,160,-165,-165,,160,200,215,225,,225,615,1
Jefferson Miguel Deltrejo de Deus,SBD,Wraps,Brazil,M,1978-01-03,Open -,97.6,100,260,270,280,,280,175,185,190,,190,270,280,290,,290,760,1
Sergio Salas,SBD,Wraps,Argentina,M,1980-02-27,Open -,95.1,100,180,-190,,,180,130,140,-145,,140,150,170,200,,200,520,2
Eduardo Elgart,SBD,Wraps,Argentina,M,1974-09-26,M-40/44,99.2,100,160,,,,160,160,,,,160,160,,,,160,480,1
Mario Vazquez,SBD,Wraps,Argentina,M,1969-11-19,M-45/49,100,100,-150,150,-190,,150,140,150,155,,155,190,210,215,,215,520,1
Nahuel Nuñez,SBD,Wraps,Argentina,M,1999-08-10,T-16/17,106.4,110,150,160,185,,185,80,90,-97.5,,90,175,185,195,,195,470,1
Gustavo Castro,SBD,Wraps,Argentina,M,1995-08-24,Junior,100.7,110,180,200,210,,210,120,130,-140,,130,200,210,-220,,210,550,1
Lucas Gigena,SBD,Wraps,Argentina,M,1992-09-30,Junior,105.4,110,170,185,-195,,185,90,100,-105,,100,180,-190,-190,,180,465,2
Walter Morales,SBD,Wraps,Argentina,M,1972-06-04,M-40/44,108,110,80,,,,80,160,175,-188,,175,125,,,,125,380,2
Gustavo Miño,SBD,Wraps,Argentina,M,1971-01-15,M-40/44,104.1,110,200,220,230,,230,140,-150,-150,,140,200,220,-230,,220,590,1
Marcio Rogerio de Lima,SBD,Wraps,Brazil,M,1972-04-11,M-40/44,114,125,240,-255,-260,,240,165,170,-185,,170,265,285,295,,295,705,1
Victor Quispe,SBD,Wraps,Argentina,M,1970-09-27,M-45/49,108.2,125,190,220,240,,240,140,-150,150,,150,200,230,-245,,230,620,1
Everton Soares Garcia,SBD,Wraps,Brazil,M,1981-05-06,Open,127.9,140,265,285,300,,300,200,-220,225,,225,265,285,300,,300,825,2
Everton Soares Garcia,SBD,Wraps,Brazil,M,1981-05-06,Submasters,127.9,140,265,285,300,,300,200,-220,225,,225,265,285,300,,300,825,1
Pablo Lucero,SBD,Wraps,Argentina,M,1985-03-26,Open,139.3,140,210,225,-235,,225,120,125,-132.5,,125,210,225,230,,230,580,3
Luciano Delorenzi,SBD,Wraps,Argentina,M,1991-01-17,Open,134.9,140,310,340,-360,,340,170,180,190,,190,280,295,300,,300,830,1
Fabrizio De Assis Ubirajara,SBD,Wraps,Brazil,M,1978-07-25,Submasters,141.9,140+,290,310,-340,,310,170,190,200,,200,290,310,,,310,820,1
Fabrizio De Assis Ubirajara,SBD,Wraps,Brazil,M,1978-07-25,Open,141.9,140+,290,310,-340,,310,170,190,200,,200,290,310,,,310,820,1
Daniel Sánchez,SBD,Multi-ply,Argentina,M,,Open,88.5,90,300,-335,335,,335,140,160,220,250.5,220,200,250,290.5,,290.5,845.5,1
Daniel Sánchez,SBD,Multi-ply,Argentina,M,,Submasters,88.5,90,300,-335,335,,335,140,160,220,250.5,220,200,250,290.5,,290.5,845.5,1
Eduardo Elgart,SBD,Multi-ply,Argentina,M,1974-09-26,M-40/44,99.2,100,280,300,,,300,200,-210,210,,210,260,-270,270,,270,780,1
Marcos Martinez,SBD,Multi-ply,Argentina,M,,Open,98.5,100,280,300,,,300,130,-170,,,130,220,250,282.5,,282.5,712.5,1
Marcos Martinez,D,Multi-ply,Argentina,M,,Open,99.5,100,,,,,,,,,,,220,250,282.5,,282.5,282.5,1
Carlos Garelli,S,Multi-ply,Argentina,M,1971-09-24,M-40/44,101.8,110,270,290,-300,,290,,,,,,,,,,,290,1
Luciano Newton Pereyra,B,Multi-ply,Brazil,M,1979-12-29,Open,134.7,140,,,,,,230,250,270,,270,,,,,,270,1
Alexis Martinez,B,Multi-ply,Argentina,M,1980-08-13,Open,74.9,75,,,,,,170,175,180,-190.5,180,,,,,,180,1
Luciano Newton Pereyra,B,Multi-ply,Brazil,M,1979-12-29,Submasters,134.7,140,,,,,,230,250,270,,270,,,,,,270,1
Alexis Martinez,B,Multi-ply,Argentina,M,1980-08-13,Submasters,74.9,75,,,,,,170,175,180,-190.5,180,,,,,,180,1
Enrique Villanueva,B,Multi-ply,Argentina,M,1983-06-30,Open,82.5,82.5,,,,,,170,-175,-180,,170,,,,,,170,1
Marcos Cabezas,B,Multi-ply,Argentina,M,,Open,88.5,90,,,,,,185,-192.5,192.5,,192.5,,,,,,192.5,1
Marcos Cabezas,D,Multi-ply,Argentina,M,,Open,88.5,90,,,,,,,,,,,230,250,262.5,,262.5,262.5,1
Marcos Cabezas,B,Multi-ply,Argentina,M,,Submasters,88.5,90,,,,,,185,-192.5,192.5,,192.5,,,,,,192.5,1
Marcos Cabezas,D,Multi-ply,Argentina,M,,Submasters,88.5,90,,,,,,,,,,,230,250,262.5,,262.5,262.5,1
Eduardo Elgart,B,Multi-ply,Argentina,M,1971-09-26,M-40/44,99.2,100,,,,,,200,210,,,210,,,,,,210,1
Fabian Blanco,B,Multi-ply,Argentina,M,,Open,93,100,,,,,,155,158,160,,160,,,,,,160,1
Luis Sandoval Camargo,B,Multi-ply,Brazil,M,1971-12-30,M-40/44,98.6,100,,,,,,-165,165,-180,,165,,,,,,165,2
Luis Sandoval Camargo,D,Multi-ply,Brazil,M,1971-12-30,M-40/44,98.6,100,,,,,,,,,,,200,225,240,,240,240,1
Gonzalo Figueroa,B,Multi-ply,Argentina,M,1985-03-02,Open,106,110,,,,,,-170,-170,-170,,,,,,,,,DQ
Walter Morales,B,Multi-ply,Argentina,M,,M-40/44,106.5,110,,,,,,190,210,218,,218,,,,,,217.5,1
Victor Quispe,D,Multi-ply,Argentina,M,,M-45/49,107.5,110,,,,,,,,,,,210,220,-240,,220,220,1
Sergio Gayoso,B,Multi-ply,Argentina,M,,M-50/54,107.8,110,,,,,,160,-192.5,192.5,-200,192.5,,,,,,192.5,1
Sergio Gayoso,D,Multi-ply,Argentina,M,,M-50/54,107.8,110,,,,,,,,,,,210,230,240,,240,240,1
Walter San Miguel,B,Multi-ply,Argentina,M,1971-06-26,M-40/44,124.5,125,,,,,,150,165,180,,180,,,,,,180,1
Irlei Felipe,B,Multi-ply,Brazil,M,1970-02-15,M-45/49,114.6,125,,,,,,220,-240,-240,,220,,,,,,220,1
Serafim Rocha,B,Multi-ply,Brazil,M,1948-04-27,M-65/69,116.9,125,,,,,,140,-150,-150,-150,140,,,,,,140,1
Sergio Corzo,D,Multi-ply,Argentina,M,,M-40/44,110,110,,,,,,,,,,,250,260,270,273,270,270,1
Carlos Campos,BD,Multi-ply,Argentina,M,,M-50/54,114,125,,,,,,-190,-190,190,,190,180,200,210,,210,400,1
