LIFTER,AGE,Body Weight in LBS,Body Weight in Kilos,Co-EFF,MAM,Division,WEIGHT CLASS IN LBS,BEST SQUAT,BEST BENCH,SUB-TOTAL,BEST DEAD,TOTAL IN Pounds,TOTAL IN Kilos,TOTAL BY Co-EFF,TOTAL BY MAM,Division,AGE,PLACING,NOTES
George Rollins Jr.,27,219.60,99.61,0.5823,,,220,580.00,330.00,910.00,480.00,1390.00,630.500,809.397,809.397,,27,2,
Desi Hubbard,25,207.00,93.89,0.5984,,,220,0.00,0.00,0.00,#REF!,#REF!,#REF!,#REF!,#REF!,,25,,out
Men's Open 242,,,,,,,,,,,,,,,,,,,
Frank Domingoes,30,239.40,108.59,0.5645,,Raw,242,535.00,435.00,970.00,700.00,1670.00,757.507,942.715,942.715,Raw,30,1,
Brandon Stoudemire,23,231.60,105.05,0.5705,,Raw,242,515.00,365.00,880.00,600.00,1480.00,671.324,844.340,844.340,Raw,23,2,
Curtis Laird,39,240.00,108.86,0.5641,,Raw,242,540.00,360.00,900.00,550.00,1450.00,657.716,817.945,817.945,Raw,39,3,
Eddie Washington,29,231.00,104.78,0.5711,,Raw,242,320.00,275.00,595.00,400.00,995.00,451.329,568.245,568.245,Raw,29,,
Travis Mash,36,228.00,103.42,0.5738,,Raw,242,585.00,330.00,915.00,600.00,1515.00,687.199,869.307,869.307,Raw,36,,Guest Lifter
James Ewart,34,242.00,109.77,0.5628,,,242,480.00,300.00,780.00,420.00,1200.00,544.316,675.360,675.360,,34,1,
Kevin Nason,24,237.60,107.77,0.5658,,Raw,242,0.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Raw,,,out
Men's Open 275,,,,,,,,,,,,,,,,,,,
Patrick Flynn,26,261.40,118.57,0.5524,,,275,805.00,525.00,1330.00,705.00,2035.00,923.070,1124.134,1124.134,,26,1,
Ben Fields,28,255.80,116.03,0.5551,,,275,765.00,435.00,1200.00,605.00,1805.00,818.743,1001.956,1001.956,,28,2,
Men's Open 308,,,,,,,,,,,,,,,,,,,
John Morrow,37,302.60,137.26,0.5335,,,308,910.00,650.00,1560.00,650.00,2210.00,1002.449,1179.035,1179.035,,37,1,Best Power Lifter
Rob Petillo,25,305.40,138.53,0.5324,,,308,0.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,25,,out
David Brown,26,298.00,135.17,0.5353,,,308,0.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,26,,out
Dave Johnson,20,295.00,133.81,0.5366,,,308,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,20,,out
Men's Open SHW,,,,,,,,,,,,,,,,,,,
David Hansen,24,331.00,150.14,0.5230,,,SHW,900.00,500.00,1400.00,750.00,2150.00,975.234,1124.450,1124.450,,24,1,
Junior/Teen 220,,,,,,,,,,,,,,,,,,,
Evan Henderson,17,206.20,93.53,0.5996,,Raw,220,315.00,275.00,590.00,400.00,990.00,449.061,593.604,593.604,Raw,17,1,
Women's JR/Teen 148,,,,,,,,,,,,,,,,,,,
Jaya Emerson,17,146.40,66.41,0.9113,,Raw,148,220.00,150.00,370.00,295.00,665.00,301.642,606.015,606.015,Raw,17,1,
Aleisha Archie,16,145.40,65.95,0.9161,,Raw,148,110.00,95.00,205.00,250.00,455.00,206.387,416.826,416.826,Raw,16,2,
Women's JR/Teen 165,,,,,,,,,,,,,,,,,,,
Davona Dula,16,164.60,74.66,0.8387,,Raw,165,95.00,115.00,210.00,245.00,455.00,206.387,381.609,381.609,Raw,16,1,
Women's JR/Teen 198,,,,,,,,,,,,,,,,,,,
Morgan Moore,17,197.40,89.54,0.7497,,Raw,198,230.00,160.00,390.00,315.00,705.00,319.786,528.539,528.539,Raw,17,1,
Women's JR/Teen SHW,,,,,,,,,,,,,,,,,,,
Amanda Bell ,16,327.20,148.42,0.6462,,Raw,SHW,230.00,135.00,365.00,315.00,680.00,308.446,439.416,439.416,Raw,16,1,
Women's Open 114,,,,,,,,,,,,,,,,,,,
Lindsey Craft,22,108.80,49.35,1.1540,,Raw,114,165.00,115.00,280.00,220.00,500.00,226.799,577.000,577.000,Raw,22,1,
Bench Only,,,,,,,,,,,,,,,,,,,
Men's Masters 242,,,,,,,,,,,,,,,,,,,
Edward Smith,41,240.20,108.95,0.5640,1.010,Raw,242,#REF!,340.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Raw,41,1,
Men's Masters 275,,,,,,,,,,,,,,,,,,,
Robert Gunn,56,248.60,112.76,0.5588,1.246,Raw,275,#REF!,420.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Raw,56,1,Best Raw Bench Press
Men's Open 148,,,,,,,,,,,,,,,,,,,
Curtis Rabon,46,270.00,122.47,0.5483,1.068,Raw,275,0.00,460.00,460.00,0.00,460.00,208.655,252.218,269.369,Raw,46,2,
Men's Open 165,,,,,,,,,,,,,,,,,,,
Curtis Brunson,29,163.00,73.94,0.6958,,Raw,165,#REF!,330.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Raw,29,1,
Men's Open 198,,,,,,,,,,,,,,,,,,,
Cody Holloway,24,195.80,88.81,0.6164,,Raw,198,#REF!,385.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Raw,24,1,
Men's Open 242,,,,,,,,,,,,,,,,,,,
Justin Ridenhour,25,240.20,108.95,0.5640,,,242,#REF!,430.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,25,1,Best Bench Press
Men's Open 275,,,,,,,,,,,,,,,,,,,
Robert Gunn,56,248.60,112.76,0.5588,,Raw,275,#REF!,420.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Raw,56,1,
Michael McDaniel,28,266.40,120.84,0.5500,,,275,#REF!,0.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,28,,out
