Name,Event,Equipment,Division,Sex,WeightClassLBS,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg
Maria Mersberg,B,Single-ply,Open,F,220,142.5,,,,142.5
Siu Whitehead,D,Single-ply,Masters 47-53,F,114,,,138.5,,138.5
Kincaid Antolin,B,Single-ply,Submaster 33-39,M,242,225,,,,225
Martha Mata Godinez-Shim,D,Single-ply,Masters 47-53,F,114,,,130,,130
Charles Mark Scott,B,Single-ply,Submaster 33-39,M,259,127.5,,,,127.5
Dana Shim-Palama,D,Single-ply,Masters 47-53,F,114,,,120,,120
Austen Antolin,B,Single-ply,Submaster 33-39,M,308,240,,,,240
Shellie Note-Gressard,D,Single-ply,Masters 47-53,F,132,,,117.5,,117.5
Darren Elisaga,B,Single-ply,Submaster 33-39,M,308+,327.5,,,,327.5
Elsonia Peters,D,Single-ply,Masters 47-53,F,148,,,97.5,,97.5
Pristeen Perreira,B,Single-ply,Submaster 33-39,F,165,57.5,,,,57.5
Susan Johnson,D,Single-ply,Masters 47-53,F,198,,,137.5,,137.5
Kaison Uehara,B,Single-ply,Teen 12-13,M,97,56,,,,56
Jacob Valmoja,D,Single-ply,Open,M,518,,,,,
Cyrus Jumalon,B,Single-ply,Teen 12-13,M,105,,,,,
Branon Uyeda,D,Single-ply,Open,M,148,,,,,
Skyler Akina,B,Single-ply,Teen 14-15,M,123,118,120,,,118
Edwin Manmano,D,Single-ply,Open,M,165,,,312.5,325.5,312.5
Drayden-Steele Kawewehi,B,Single-ply,Teen 14-15,M,165,97.5,,,,97.5
Blake Parado,D,Single-ply,Open,M,165,,,217.5,,217.5
Kaenan Kaono,B,Single-ply,Teen 14-15,M,198,77.5,,,,77.5
Romar Lagamo,D,Single-ply,Open,M,198,,,340,,340
Treylan Kobayashi,B,Single-ply,Teen 18-19,M,114,125,,,,125
Sean Gutekanst,D,Single-ply,Open,M,242,,,292.5,,292.5
Jallel Fabro,B,Single-ply,Teen 18-19,M,123,135,152.5,,,135
Damon Tulsa Uyeda,D,Single-ply,Open,M,259,,,265,,265
William Lumayas,B,Single-ply,Teen 18-19,M,148,182.5,187.5,,,182.5
Elizabeth Cabe,D,Single-ply,Open,F,105,,,152.5,,152.5
Darrin Fernandez,B,Single-ply,Teen 18-19,M,165,102.5,,,,102.5
Siu Whitehead,D,Single-ply,Open,F,114,,,138.5,,138.5
Jonathan Carroll,B,Single-ply,Teen 18-19,M,220,152.5,,,,152.5
Martha Mata Godinez-Shim,D,Single-ply,Open,F,114,,,130,,130
Chevelle Bertelmann,B,Single-ply,Teen 14-15,F,114,45.5,,,,45.5
Dana Shim-Palama,D,Single-ply,Open,F,114,,,120,,120
Gerika Kaaua-Acorda,B,Single-ply,Teen 18-19,F,220,105,112.5,,,105
Jennifer Scott,D,Single-ply,Open Women,F,132,,,142.5,152.5,142.5
Jonathan Iloreta,D,Single-ply,Class 1,M,148,,,222.5,,222.5
Shellie Note-Gressard,D,Single-ply,Open,F,132,,,117.5,,117.5
Dustin Zuniga,D,Single-ply,Class 1,M,148,,,217.5,231.5,217.5
Pristeen Perreira,D,Single-ply,Open,F,165,,,150,,150
Kellen Mira,D,Single-ply,Class 1,M,165,,,235,,235
Susan Johnson,D,Single-ply,Open,F,198,,,137.5,,137.5
Manuel C. Ramirez,D,Single-ply,Class 1,M,165,,,217.5,,217.5
Maria Mersberg,D,Single-ply,Open,F,220,,,183.5,,183.5
Robert W. Hutchens,D,Single-ply,Class 1,M,165,,,197.5,,197.5
Anthony Alika Low,D,Single-ply,Submaster 33-39,M,165,,,275,281,275
Dexter Gumboc,D,Single-ply,Class 1,M,198,,,237.5,,237.5
Romar Lagamo,D,Single-ply,Submaster 33-39,M,198,,,340,,340
Kyle Sugi,D,Single-ply,Class 1,M,198,,,282.5,,282.5
Kincaid Antolin,D,Single-ply,Submaster 33-39,M,242,,,265.5,272.5,265.5
Arnel Ulep Sibucao,D,Single-ply,Class 1,M,220,,,227.5,,227.5
Justin H. Phillips,D,Single-ply,Submaster 33-39,M,259,,,250.5,260,250.5
James Smith,D,Single-ply,Class 1,M,242,,,272.5,,272.5
Charles Mark Scott,D,Single-ply,Submaster 33-39,M,259,,,230,237.5,230
Sean Gutekanst,D,Single-ply,Class 1,M,242,,,292.5,,292.5
Austen Antolin,D,Single-ply,Submaster 33-39,M,308,,,265,,265
Gabriel Balboa,D,Single-ply,Class 1,M,259,,,290.5,297.5,290.5
Pristeen Perreira,D,Single-ply,Submaster 33-39,F,165,,,150,,150
BraDey Waiki,D,Single-ply,Class 1,M,259,,,280,,280
Austen Antolin,D,Single-ply,Class 1,M,308,,,265,,265
Jacob Valmoja,D,Single-ply,Junior Men,M,132,,,235,,235
Kellen Mira,D,Single-ply,Junior Men,M,165,,,235,,235
Jasten Pascual,D,Single-ply,Junior Men,M,165,,,222.5,,222.5
Kyle Sugi,D,Single-ply,Junior Men,M,198,,,282.5,,282.5
Aya Kwong,D,Single-ply,Submaster 33-39,F,165,,,125,,125
Kaison Uehara,D,Single-ply,Teen 12-13,M,97,,,110,,110
Cyrus Jumalon,D,Single-ply,Teen 12-13,M,105,,,116.5,120,116.5
Hunter Guerrero,D,Single-ply,Teen 12-13,M,181,,,107.5,125,107.5
Antonio Okamoto,D,Single-ply,Teen 14-15,M,148,,,137.5,,137.5
Odin Mersberg,D,Single-ply,Teen 14-15,M,165,,,166.5,,166.5
Drayden-Steele Kawewehi,D,Single-ply,Teen 14-15,M,165,,,137.5,,137.5
Kaenan Kaono,D,Single-ply,Teen 14-15,M,198,,,145,,145
Monty Payne,D,Single-ply,Teen 14-15,M,242,,,217.5,,217.5
Angus K. Mersberg,D,Single-ply,Teen 14-15,M,308+,,,227.5,231,227.5
Darrin Fernandez,D,Single-ply,Teen 18-19,M,165,,,227.5,,227.5
Jonathan Carroll,D,Single-ply,Teen 18-19,M,220,,,185,,185
Brooke Whitehead,D,Single-ply,Teen 12-13,F,148,,,100,105,100
Kaila Hew Len,D,Single-ply,Teen 18-19,F,114,,,138,,138
Ciara Balidoy,D,Single-ply,Teen 18-19,F,132,,,145,155,145
