Name,WeightClassKg,BodyweightKg,Sex,Division,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Country
Sheremenko Svitlana,75,72.8,F,F-M (50 - 54) -AWPC,-95,-95,-95,,,,,,,,,,,,,,DQ,SBD,Raw,UKR
Tsukanova Natalya,82.5,81.25,F,F-M (50 - 54) -AWPC,-125,125,,,125,85,90,-95,,90,150,160,-165,,160,375,1,SBD,Raw,UKR
Serenko Mykyta,52,48.85,F,F-T (13-15) -AWPC,60,65,-70,,65,45,-47.5,47.5,,47.5,70,80,90,,90,202.5,1,SBD,Raw,UKR
Dragan Jevgeniy,52,51.35,F,F-T (16-17) -AWPC,80,90,-100,,90,60,70,-75,,70,110,130,-135,,130,290,1,SBD,Raw,MLD
Bozrikov Denis,52,52,F,F-T (16-17) -AWPC,70,75,-80,,75,55,60,-65,,60,110,120,-140,,120,255,2,SBD,Raw,RUS
Vanichev Nikolai,52,52,F,F-O -AWPC,-115,-115,-117.5,,,,,,,,,,,,,,DQ,SBD,Raw,RUS
Plakushchenko Anatoly,56,55.5,F,F-T (13-15) -AWPC,60,70,80,,80,-50,-50,50,,50,90,110,-115,,110,240,1,SBD,Raw,MLD
Dokukin Ruslan,56,55.95,F,F-T (16-17) -AWPC,110,-117.5,117.5,,117.5,65,-72.5,72.5,,72.5,130,140,150,,150,340,1,SBD,Raw,RUS
Ladnyy Vadim,56,55.25,F,F-T (16-17) -AWPC,100,105,-115,,105,70,-80,-80,,70,125,-140,-140,,125,300,2,SBD,Raw,MLD
Artemyev Oleg,56,55.85,F,F-O -AWPC,135,140,,,140,-120,120,125,,125,150,160,-167.5,,160,425,1,SBD,Raw,RUS
Zhuravlev Vladimir,56,54.4,F,F-M (65 - 69) -AWPC,100,110,,,110,80,-85,,,80,120,130,,,130,320,1,SBD,Raw,RUS
Dambinov Alexander,56,55.8,F,F-M (70 - 74) -AWPC,80,85,-90,,85,-62.5,65,-67.5,,65,125,-130,130,,130,280,1,SBD,Raw,RUS
Baranov Pavel,60,59.25,F,F-T (13-15) -AWPC,145,160,165,,165,90,97.5,100,,100,170,-195,-195,,170,435,1,SBD,Raw,RUS
Mikhin Vitaly,60,57.75,F,F-T (13-15) -AWPC,110,120,125,,125,80,,,,80,140,150,160,,160,365,2,SBD,Raw,RUS
Gerasimov Artem,60,59.2,F,F-T (16-17) -AWPC,120,130,-140,,130,100,105,-110,,105,140,150,160,,160,395,1,SBD,Raw,RUS
Volodarsky Sergei,60,58.15,F,F-J (20 - 23) -AWPC,130,137.5,-142.5,,137.5,92.5,97.5,100,-102.5,100,162.5,172.5,177.5,,177.5,415,1,SBD,Raw,RUS
Karlov Konstantin,60,59.75,F,F-J (20 - 23) -AWPC,120,130,140,,140,87.5,95,-100,,95,150,170,-182.5,,170,405,2,SBD,Raw,RUS
Tarverdiyev Elmir,60,58.85,F,F-O -AWPC,150,165,-170,,165,90,100,105,,105,170,185,190,,190,460,1,SBD,Raw,AZE
Sukhobok Maxim,60,57.45,F,F-M (40 - 44) -AWPC,-132.5,132.5,142.5,,142.5,82.5,90,-95,,90,165,180,-187.5,,180,412.5,1,SBD,Raw,RUS
Dvoynikov Oleg,60,59.85,F,F-M (45 - 49) -AWPC,125,130,-135,,130,90,-95,95,,95,170,180,-185,,180,405,1,SBD,Raw,RUS
Mukhayev Nail,67.5,60.95,F,F-T (13-15) -AWPC,75,85,90,,90,50,57.5,-62.5,,57.5,110,120,-130,,120,267.5,1,SBD,Raw,RUS
Shvetsov Pavel,67.5,66.1,F,F-T (18 - 19) -AWPC,170,175,180,,180,115,-120,,,115,220,-230,-230,,220,515,1,SBD,Raw,RUS
Lustin Anton,67.5,63.4,F,F-T (18 - 19) -AWPC,180,190,-200,,190,115,122.5,-130,,122.5,170,185,-195,,185,497.5,2,SBD,Raw,RUS
Severinchik Igor,67.5,67,F,F-T (18 - 19) -AWPC,155,160,170,,170,90,97.5,-105,,97.5,180,195,-200,,195,462.5,3,SBD,Raw,UKR
Telipaylo Leonid,67.5,66.75,F,F-J (20 - 23) -AWPC,145,155,162.5,167.5,162.5,100,107.5,-110,,107.5,180,190,,,190,460,1,SBD,Raw,UKR
Rozhdaykin Vladimir,67.5,66.85,F,F-J (20 - 23) -AWPC,140,150,160,,160,100,-115,115,,115,160,180,185,,185,460,2,SBD,Raw,MLD
Bezrukov Ivan,67.5,65.2,F,F-J (20 - 23) -AWPC,120,130,-135,,130,75,80,-85,,80,175,182.5,-185,,182.5,392.5,3,SBD,Raw,RUS
Telipaylo Leonid,67.5,66.75,F,F-O -AWPC,145,155,162.5,,162.5,100,107.5,-110,,107.5,180,190,-195,,190,460,1,SBD,Raw,UKR
Rojdaikin Vladimir,67.5,66.85,F,F-O -AWPC,140,150,160,,160,100,-115,115,,115,160,180,185,,185,460,2,SBD,Raw,MLD
Kukhterin Vadym,67.5,63.5,F,F-M (45 - 49) -AWPC,120,130,,,130,90,100,105,,105,140,150,,,150,385,1,SBD,Raw,UKR
Osipyan Arkady,67.5,67.4,F,F-M (45 - 49) -AWPC,100,105,110,,110,85,90,92.5,,92.5,130,-135,,,130,332.5,2,SBD,Raw,RUS
Alampiyev Sergei,67.5,66.85,F,F-M (50 - 54) -AWPC,140,150,-155,,150,-110,110,-115,,110,180,205,217.5,,217.5,477.5,1,SBD,Raw,RUS
Kim Sergei,67.5,66.65,F,F-M (50 - 54) -AWPC,145,150,160,,160,115,120,122.5,,122.5,170,-175,-182.5,,170,452.5,2,SBD,Raw,RUS
Lobachev Vladimir,67.5,67.4,F,F-M (65 - 69) -AWPC,105,115,125,,125,80,85,90,,90,155,160,-165,,160,375,1,SBD,Raw,RUS
Chistyakov Anatoly,67.5,62.85,F,F-M (65 - 69) -AWPC,90,100,102.5,,102.5,67.5,70,-72.5,,70,115,125,130,,130,302.5,2,SBD,Raw,RUS
Karpenko Alexander,75,73.9,F,F-T (16-17) -AWPC,175,190,202.5,,202.5,120,130,135.5,-137.5,135.5,220,235,252.5,,252.5,590,1,SBD,Raw,RUS
Babin Vladimir,75,74.2,F,F-T (16-17) -AWPC,170,177.5,-182.5,,177.5,105,110,112.5,,112.5,242.5,252.5,-265,,252.5,542.5,2,SBD,Raw,RUS
Vandakurov Vadim,75,73,F,F-T (16-17) -AWPC,155,165,175,,175,105,115,117.5,,117.5,170,-175,-175,,170,462.5,3,SBD,Raw,RUS
Kumskov Stanislav,75,74.55,F,F-T (18 - 19) -AWPC,185,200,210,,210,125,130,-136,,130,230,242.5,-250,,242.5,582.5,1,SBD,Raw,RUS
Ivanov Alexei,75,75,F,F-T (18 - 19) -AWPC,150,165,180,,180,115,125,-132.5,,125,180,190,200,,200,505,2,SBD,Raw,RUS
Gurov Dmitry,75,72.8,F,F-T (18 - 19) -AWPC,150,-160,-160,,150,115,-120,-120,,115,170,190,-200,,190,455,3,SBD,Raw,RUS
Oleynik Alexander,75,71.4,F,F-T (18 - 19) -AWPC,130,140,-150,,140,100,-110,-112.5,,100,160,180,-200,,180,420,4,SBD,Raw,MLD
Progunov Vitaly,75,73.4,F,F-J (20 - 23) -AWPC,-180,-180,180,,180,110,120,127.5,,127.5,250,260,270,,270,577.5,1,SBD,Raw,RUS
Mamontov Vyacheslav,75,75,F,F-J (20 - 23) -AWPC,180,-190,,,180,125,130,137.5,,137.5,240,252.5,-260.5,,252.5,570,2,SBD,Raw,RUS
Puchkovskiy Rodion,75,72.75,F,F-O -AWPC,185,190,195,,195,130,135,,,135,240,-250,250,,250,580,1,SBD,Raw,RUS
Lyutik Andriy,75,75,F,F-O -AWPC,180,195,-200,,195,125,135,-142.5,,135,220,-235,,,220,550,2,SBD,Raw,UKR
Pryazhentsev Vladimir,75,72.65,F,F-M (40 - 44) -AWPC,-175,175,185,190,185,110,120,122.5,,122.5,200,215,222.5,,222.5,530,1,SBD,Raw,RUS
Paraskeva Igor,75,73.55,F,F-M (45 - 49) -AWPC,160,170,-175,,170,105,115,120,,120,170,190,205,,205,495,1,SBD,Raw,MLD
Bobkov Sergiy,75,74.25,F,F-M (55 - 59) -AWPC,130,,,,130,80,90,,,90,-140,,,,-140,,DQ,SBD,Raw,UKR
Kravtsov Petro,75,72.45,F,F-M (60 - 64) -AWPC,180,185,-190,,185,110,115,117.5,,117.5,180,190,195,,195,497.5,1,SBD,Raw,UKR
Manchuk Volodymyr,75,73.85,F,F-M (65 - 69) -AWPC,110,120,-130,,120,105,112.5,-115,,112.5,-150,,,,,,DQ,SBD,Raw,UKR
Vasylenko Volodymyr,75,74.8,F,F-M (65 - 69) -AWPC,105,-110,110,,110,-65,-65,-65,,,,,,,,,DQ,SBD,Raw,UKR
Kolyadenko Olexandr,82.5,80.6,F,F-T (13-15) -AWPC,-150,-150,-150,,,,,,,,,,,,,,DQ,SBD,Raw,UKR
Kovalenko Bogdan,82.5,80.5,F,F-T (16-17) -AWPC,180,-190,200,,200,90,100,-105,,100,200,215,220,-230.5,220,520,1,SBD,Raw,AZE
Gritsay Ilya,82.5,82.25,F,F-T (16-17) -AWPC,145,155,162.5,,162.5,120,-125,130,,130,200,215,-225,,215,507.5,2,SBD,Raw,RUS
Svetlichnyy Vladimir,82.5,81.95,F,F-J (20 - 23) -AWPC,220,230,240,,240,140,-150,150,,150,220,250,260,,260,650,1,SBD,Raw,RUS
Chumak Olexandr,82.5,80.3,F,F-J (20 - 23) -AWPC,160,-165,-165,,160,115,120,125,,125,185,205,215,,215,500,2,SBD,Raw,UKR
Kokukhin Alexei,82.5,78.15,F,F-O -AWPC,220,235,-245,,235,145,160,-165,,160,270,290,300,,300,695,1,SBD,Raw,RUS
Zaripov Rinat,82.5,81.1,F,F-O -AWPC,215,225,230,,230,160,167.5,170,,170,-275,285,-295,,285,685,2,SBD,Raw,BLR
Sarukhanyan Grigory,82.5,82.35,F,F-O -AWPC,215,225,232.5,,232.5,145,152.5,-160,,152.5,245,262.5,267.5,,267.5,652.5,3,SBD,Raw,UKR
Shunin Alexander,82.5,82.35,F,F-O -AWPC,205,215,220,,220,140,-145,145,,145,270,280,285,,285,650,4,SBD,Raw,RUS
Yakhin Amir,82.5,81.5,F,F-O -AWPC,205,215,-220,,215,150,-157.5,157.5,,157.5,230,-242.5,-242.5,,230,602.5,5,SBD,Raw,RUS
Grinkevich-Sudnik Alexander,82.5,82.5,F,F-O -AWPC,185,197.5,-205,,197.5,140,147.5,152.5,,152.5,215,242.5,-247.5,,242.5,592.5,6,SBD,Raw,RUS
Sarukhanyan Grigory,82.5,82.35,F,F-M (40 - 44) -AWPC,205,215,220,,220,140,-145,145,,145,270,280,285,,285,650,1,SBD,Raw,RUS
Krotkikh Anatoliy,82.5,81.25,F,F-M (40 - 44) -AWPC,150,160,180,,180,115,120,125,,125,160,-180,-180,,160,465,2,SBD,Raw,UKR
Piskalov Vyacheslav,82.5,80.6,F,F-M (50 - 54) -AWPC,205,215,-225,,215,115,120,-125,,120,205,-215,,,205,540,1,SBD,Raw,RUS
Cherednichenko Anatoliy,82.5,81.05,F,F-M (50 - 54) -AWPC,150,165,180,,180,100,-110,110,,110,150,180,200,,200,490,2,SBD,Raw,UKR
Kulikov Yuri,82.5,81.95,F,F-M (50 - 54) -AWPC,115,125,130,,130,97.5,-105,-105,,97.5,160,170,175,,175,402.5,3,SBD,Raw,UKR
Larin Vladimir,82.5,80.75,F,F-M (55 - 59) -AWPC,135,-150,-150,,135,100,-105,-107.5,,100,140,160,,,160,395,1,SBD,Raw,RUS
Chevordayev Vyacheslav,82.5,80.8,F,F-M (60 - 64) -AWPC,-175,175,182.5,,182.5,92.5,97.5,-100,,97.5,210,-220,220,-227.5,220,500,1,SBD,Raw,RUS
Terzov Vyacheslav,82.5,81.1,F,F-M (70 - 74) -AWPC,150,160,170,,170,80,85,90,,90,160,180,190,,190,450,1,SBD,Raw,RUS
Loginov Olexandr,82.5,76.85,F,F-M (70 - 74) -AWPC,,120,127.5,,127.5,70,75,-77.5,,75,,150,162.5,,162.5,365,2,SBD,Raw,UKR
Zaborovskiy Georgy,90,89.1,F,F-T (16-17) -AWPC,180,190,-205,,190,140,150,,,150,180,195,205,,205,545,1,SBD,Raw,RUS
Fedoseyev Alexander,90,87.75,F,F-T (18 - 19) -AWPC,185,195,-205,,195,145,155,-160,,155,220,230,240,,240,590,1,SBD,Raw,UKR
Kulebyakin Ruslan,90,89.55,F,F-T (18 - 19) -AWPC,150,160,-172.5,,160,120,-125,127.5,,127.5,170,185,200,,200,487.5,2,SBD,Raw,RUS
Shamanskiy Ruslan,90,89.75,F,F-T (18 - 19) -AWPC,-160,-160,-160,,,,,,,,,,,,,,DQ,SBD,Raw,UKR
Georgiyev Sergei,90,87.05,F,F-J (20 - 23) -AWPC,-190,190,205,,205,130,-140,140,,140,230,242.5,252.5,,252.5,597.5,1,SBD,Raw,MLD
Zenin Anton,90,89.95,F,F-J (20 - 23) -AWPC,195,205,210,,210,135,-140,-140,,135,230,240,250,,250,595,2,SBD,Raw,RUS
Kalnin Dmitry,90,89.15,F,F-J (20 - 23) -AWPC,160,-170,-180,,160,115,125,,,125,190,-205,205,,205,490,3,SBD,Raw,UKR
Zhukov Nikolai,90,88.6,F,F-O -AWPC,250,257.5,265,,265,167.5,175,180,,180,260,275,280,,280,725,1,SBD,Raw,RUS
Slepchenko Mykhailo,90,88.6,F,F-O -AWPC,240,260,275,,275,165,175,,,175,250,270,-282.5,,270,720,2,SBD,Raw,UKR
Zaytsev Sergei,90,89.15,F,F-O -AWPC,-230,-230,230,,230,190,200,-205,,200,250,270,282.5,285,282.5,712.5,3,SBD,Raw,RUS
Kharauzov Alexei,90,90,F,F-O -AWPC,215,230,237.5,,237.5,190,202.5,-207.5,,202.5,230,252.5,270,,270,710,4,SBD,Raw,RUS
Mikhaylyuk Ivan,90,84.45,F,F-O -AWPC,230,240,-250,,240,150,155,160,,160,260,-270,270,,270,670,5,SBD,Raw,RUS
Sinetskiy Roman,90,89.4,F,F-O -AWPC,220,-230,230,,230,160,-165,165,,165,260,-275,-275,,260,655,6,SBD,Raw,RUS
Zakharov Yuri,90,89.25,F,F-O -AWPC,220,230,235,,235,-175,-175,-175,,,,,,,,,DQ,SBD,Raw,RUS
Talda Konstantin,90,90,M,M-O -AWPC,210,220,-230.5,,220,-172.5,-172.5,-172.5,,,,,,,,,DQ,SBD,Raw,RUS
Leontyev Alexander,90,90,F,F-M (45 - 49) -AWPC,215,225,235,,235,-155,155,160,,160,215,225,235,,235,630,1,SBD,Raw,RUS
Vashchenko Vasyl,90,87.4,F,F-M (50 - 54) -AWPC,140,150,160,,160,120,125,-127.5,,125,150,160,175,,175,460,1,SBD,Raw,UKR
Moskalenko Stanislav,100,99.8,F,F-T (16-17) -AWPC,200,210,220,,220,150,160,,,160,200,220,240,,240,620,1,SBD,Raw,RUS
Jurku Sergei,100,98.15,F,F-T (18 - 19) -AWPC,185,195,-205,,195,125,135,142.5,,142.5,195,212.5,222.5,,222.5,560,1,SBD,Raw,MLD
Panferov Yevgeny,100,96.65,F,F-T (18 - 19) -AWPC,190,202.5,-212.5,,202.5,120,127.5,135,,135,190,210,220,,220,557.5,2,SBD,Raw,RUS
Poberezhnyy Andrei,100,99.05,F,F-J (20 - 23) -AWPC,235,-245,-245,,235,160,170,-175,,170,270,290,305,,305,710,1,SBD,Raw,RUS
Komelin Konstantin,100,96.5,F,F-J (20 - 23) -AWPC,220,230,240,,240,130,-140,,,130,260,270,-275,,270,640,2,SBD,Raw,RUS
Gordon Conner,100,98.7,F,F-J (20 - 23) -AWPC,-187.5,187.5,190,,190,-145,-145,-145,,,,,,,,,DQ,SBD,Raw,USA
Lozhechkin Vadym,100,99.15,F,F-O -AWPC,260,275,-282.5,,275,180,-190,190,,190,270,285,292.5,,292.5,757.5,1,SBD,Raw,UKR
Tishchenko Vladimir,100,99.1,F,F-O -AWPC,220,235,250,,250,160,170,-175,,170,270,290,-300,,290,710,2,SBD,Raw,RUS
Ustyugov Andrei,100,98.8,F,F-O -AWPC,230,240,250,,250,160,170,-175,,170,245,260,-265,,260,680,3,SBD,Raw,RUS
Tishchenko Vladimir,100,99.1,F,F-M (40 - 44) -AWPC,220,235,250,,250,160,170,-175,,170,270,290,-300,,290,710,1,SBD,Raw,RUS
Kolesnyk Sergiy,100,97.7,F,F-M (45 - 49) -AWPC,-185,185,200,,200,125,135,140,,140,185,200,215,,215,555,1,SBD,Raw,UKR
Kholodov Oleg,100,98,F,F-M (45 - 49) -AWPC,175,185,190,,190,120,127.5,132.5,,132.5,175,200,-210,,200,522.5,2,SBD,Raw,RUS
Nemchinov Alexander,100,91.1,F,F-M (55 - 59) -AWPC,180,200,,,200,115,-125,125,,125,225,240,,,240,565,1,SBD,Raw,RUS
Bobkov Mikhail,100,94.15,F,F-M (60 - 64) -AWPC,210,-220,220,,220,80,90,,,90,190,200,215,,215,525,1,SBD,Raw,RUS
Borisov Vasyl,100,90.1,F,F-M (65 - 69) -AWPC,-120,-120,120,,120,75,-85,-85,,75,120,130,142.5,,142.5,337.5,1,SBD,Raw,UKR
Mustafayev Zaur,110,105.15,F,F-T (18 - 19) -AWPC,170,185,-195,,185,130,142.5,155,,155,190,210,-230,,210,550,1,SBD,Raw,RUS
Shvetsov Stanislav,110,107.25,F,F-J (20 - 23) -AWPC,270,285,-300,,285,190,-205,-205,,190,280,300,312.5,-320,312.5,787.5,1,SBD,Raw,RUS
Zaytsev Alexander,110,108.45,F,F-O -AWPC,250,270,-290,,270,200,-210,,,200,270,290,302.5,,302.5,772.5,1,SBD,Raw,RUS
Grekhnev Alexander,110,110,F,F-O -AWPC,220,230,240,,240,175,-187.5,192.5,,192.5,270,287.5,300,,300,732.5,2,SBD,Raw,RUS
Ventsov Alexei,110,106.6,F,F-O -AWPC,250,265,-270,,265,155,160,-165,,160,300,-312,-315,,300,725,3,SBD,Raw,RUS
Fedoseyev Andrei,110,109.4,F,F-O -AWPC,230,240,-250,,240,175,182.5,187.5,,187.5,265,-275,-275,,265,692.5,4,SBD,Raw,RUS
Abdullaev Mammed,110,108.45,F,F-O -AWPC,-245,-245,245,,245,175,-182.5,-182.5,,175,252.5,260,-272.5,,260,680,5,SBD,Raw,AZE
Yesaulov Alexander,110,110,F,F-O -AWPC,225,235,-245,,235,160,170,-182.5,,170,260,270,,,270,675,6,SBD,Raw,RUS
Mazanov Sergei,110,107.65,F,F-O -AWPC,220,,,,220,165,170,-172.5,,170,270,280,282.5,,282.5,672.5,7,SBD,Raw,RUS
Terlita Victor,110,103.3,F,F-O -AWPC,190,-200,-200,,190,150,,,,150,200,210,220,,220,560,8,SBD,Raw,MLD
Minin Vladimir,110,100.6,F,F-M (40 - 44) -AWPC,260,267.5,272.5,,272.5,150,155,-157.5,,155,260,267.5,-272.5,,267.5,695,1,SBD,Raw,RUS
Kurbanov Ekber,110,107.9,F,F-M (40 - 44) -AWPC,215,230,240,,240,160,-167.5,167.5,,167.5,252.5,-262.5,262.5,,262.5,670,2,SBD,Raw,RUS
Lishchuk Sergei,110,104.85,F,F-M (40 - 44) -AWPC,190,205,-220,,205,140,145,,,145,220,240,-270,,240,590,3,SBD,Raw,RUS
Ugryumov Valery,110,102.05,F,F-M (45 - 49) -AWPC,160,170,175,,175,120,127.5,132.5,,132.5,170,180,185,,185,492.5,1,SBD,Raw,RUS
Terlita Victor,110,103.3,F,F-M (50 - 54) -AWPC,190,-200,-200,,190,150,,,,150,200,210,220,,220,560,1,SBD,Raw,MLD
Bryndulya Mykola,110,101.35,F,F-M (55 - 59) -AWPC,160,165,170,,170,120,130,-135,,130,180,195,205,,205,505,1,SBD,Raw,UKR
Balakirev Volodymyr,110,100.3,F,F-M (60 - 64) -AWPC,145,155,160,,160,110,120,,,120,160,170,180,,180,460,1,SBD,Raw,UKR
Stepanov Arthur,125,121.9,M,M-O -AWPC,270,282.5,290,295,290,200,210,215,217.5,215,270,300,,,300,805,1,SBD,Raw,RUS
Lukyanov Sergei,125,114.1,M,M-O -AWPC,250,265,270,,270,200,212.5,-217.5,,212.5,250,265,,,265,747.5,2,SBD,Raw,RUS
Strizhov Sergei,125,114.5,M,M-O -AWPC,-200,200,210,,210,180,187.5,-192.5,,187.5,200,225,250,,250,647.5,3,SBD,Raw,RUS
Teterin Alexander,125,121.8,M,M-O -AWPC,190,,,,190,120,127.5,-132.5,,127.5,240,250,260,,260,577.5,4,SBD,Raw,RUS
Solovey Igor,125,115.85,M,M-M (40 - 44) -AWPC,-220,220,-230,,220,150,160,,,160,220,230,240,,240,620,1,SBD,Raw,RUS
Burlakov Alexander,125,120.7,M,M-M (50 - 54) -AWPC,190,202.5,-207.5,,202.5,150,-160,-167.5,,150,185,-195,,,185,537.5,1,SBD,Raw,RUS
Kirillov Sergei,125,110.1,M,M-M (50 - 54) -AWPC,150,160,170,,170,140,150,-155,,150,170,180,,,180,500,2,SBD,Raw,RUS
Shariy Valeriy,125,118.35,M,M-M (60 - 64) -AWPC,-120,120,135,,135,105,115,120,,120,150,,,,150,405,1,SBD,Raw,UKR
Stepanenko Alexander,140,131.8,M,F-O -AWPC,-270,270,282.5,,282.5,175,185,190,,190,290,310,322.5,,322.5,795,1,SBD,Raw,RUS
Vasyuchenko Oleg,140,130.3,M,F-M (40 - 44) -AWPC,250,260,-270,,260,150,165,,,165,260,-290,,,260,685,1,SBD,Raw,RUS
Chekushkin Mikhail,140,139.95,M,F-M (45 - 49) -AWPC,300,315,322.5,-330,322.5,170,180,-187.5,,180,230,-252.5,-252.5,,230,732.5,1,SBD,Raw,MLD
Shabanova Anastasiya,44,40.6,F,F-T (13-15) -AWPC,,,,,,20,25,27.5,-30,27.5,,,,,,27.5,1,B,Raw,RUS
Stratova Marina,44,42,F,F-T (18 - 19) -AWPC,,,,,,47.5,50,-52.5,,50,,,,,,50,1,B,Raw,RUS
Isakova Olga,48,47.9,F,F-T (13-15) -AWPC,,,,,,45,52.5,-55,,52.5,,,,,,52.5,1,B,Raw,RUS
Pokornaya Irina,48,47.85,F,F-O -AWPC,,,,,,60,65,68,,68,,,,,,68,1,B,Raw,RUS
Reutova Nadezhda,52,51.75,F,F-T (16-17) -AWPC,,,,,,50,52.5,-55,,52.5,,,,,,52.5,1,B,Raw,RUS
Shkolnaya Yekaterina,52,51.9,F,F-T (16-17) -AWPC,,,,,,45,-50,-50,,45,,,,,,45,2,B,Raw,RUS
Mymrina Anastasiya,52,49.3,F,F-T (18 - 19) -AWPC,,,,,,60,-65,-65,,60,,,,,,60,1,B,Raw,RUS
Bubenshchikova Nataliya,52,51.2,F,F-O -AWPC,,,,,,57.5,60,-62.5,,60,,,,,,60,1,B,Raw,RUS
Rudnevskaya Veronika,52,52,F,F-O -AWPC,,,,,,-55,55,-57.5,,55,,,,,,55,2,B,Raw,RUS
Petriyenko Natalya,56,55.05,F,F-T (18 - 19) -AWPC,,,,,,37.5,40,-42.5,,40,,,,,,40,1,B,Raw,RUS
Turygina Polina,56,56,F,F-J (20 - 23) -AWPC,,,,,,50,52.5,-55,,52.5,,,,,,52.5,1,B,Raw,RUS
Goncharova Natalya,56,55.2,F,F-O -AWPC,,,,,,75,-77.5,-77.5,,75,,,,,,75,1,B,Raw,RUS
Kanivets Olena,56,54.8,F,F-O -AWPC,,,,,,60,65,-67.5,,65,,,,,,65,2,B,Raw,UKR
Ivanova Yekaterina,60,59.8,F,F-O -AWPC,,,,,,82.5,92.5,95,-100,95,,,,,,95,1,B,Raw,RUS
Rakcheyeva Anastasiya,60,58.7,F,F-O -AWPC,,,,,,85,90,92.5,,92.5,,,,,,92.5,2,B,Raw,RUS
Kulagina Tatyana,60,57.3,F,F-O -AWPC,,,,,,75,82.5,-87.5,,82.5,,,,,,82.5,3,B,Raw,RUS
Timofeyeva Olena,60,58.3,F,F-M (40 - 44) -AWPC,,,,,,-50,50,-55,,50,,,,,,50,1,B,Raw,UKR
Romasenko Irina,67.5,67.15,F,F-O -AWPC,,,,,,70,75,-77.5,,75,,,,,,75,1,B,Raw,RUS
Dernova Larisa,67.5,65.9,F,F-O -AWPC,,,,,,67.5,72.5,-77.5,,72.5,,,,,,72.5,2,B,Raw,RUS
Sinacheva Svetlana,75,74.6,F,F-O -AWPC,,,,,,85,90,92.5,-95,92.5,,,,,,92.5,1,B,Raw,RUS
