Place,Division,WeightClassKg,Name,Country,BirthDate,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Event,Equipment,Sex
2,Juniors,60,Rani-Thakur Neelam,India,10/05/1982,59.9,110,52.5,,100,,262.5,SBD,Single-ply,F
1,Sub-Juniors,60,Hsiu-Jung Lo,Taiwan,18/11/1984,59.3,150,80,,152.5,,382.5,SBD,Single-ply,F
1,Open,67.5,Rajeswari Raja,India,15/06/1975,65.1,210,115,,185,,510,SBD,Single-ply,F
2,Open,67.5,Aygu Iskandarova,Uzbekistan,03/06/1974,66.85,175,87.5,,180,,442.5,SBD,Single-ply,F
3,Open,67.5,Sol Charisse L,Philippines,01/06/1977,67.5,90,65,,135,,290,SBD,Single-ply,F
1,Juniors,67.5,Hsiao-Li Hsu,Taiwan,07/12/1981,61.7,160,100,,180,,440,SBD,Single-ply,F
2,Juniors,67.5,Hsiang-Yi Lee,Taiwan,20/11/1980,67.5,155,87.5,,160,,402.5,SBD,Single-ply,F
3,Juniors,67.5,Das Pupali,India,22/02/1980,65.35,130,55,,142.5,,327.5,SBD,Single-ply,F
4,Juniors,67.5,Bhavani Indhala,India,18/06/1981,64.55,125,45,,140,,310,SBD,Single-ply,F
DQ,Juniors,67.5,Elizabeth,Indonesia,17/09/1980,63.9,,,,,,,SBD,Single-ply,F
1,Sub-Juniors,67.5,Ting-Yi Chen,Taiwan,16/07/1985,63.4,157.5,75,,160,,392.5,SBD,Single-ply,F
1,Open,75,Anna Leonova,Uzbekistan,28/04/1984,74.5,175,102.5,,175,,452.5,SBD,Single-ply,F
2,Open,75,Job Blessy,India,04/05/1975,74.6,172.5,70,,177.5,,420,SBD,Single-ply,F
3,Open,75,Sujatha Cheemal,India,08/06/1978,69.65,130,62.5,,150,,342.5,SBD,Single-ply,F
1,Juniors,75,Kulkarni Deepali,India,18/10/1979,73.15,130,57.5,,140,,327.5,SBD,Single-ply,F
1,Sub-Juniors,75,Anna Leonova,Uzbekistan,28/04/1984,74.5,175,102.5,,175,,452.5,SBD,Single-ply,F
1,Open,82.5,Chiu-Hua Hsieh,Taiwan,26/06/1980,80.15,190,127.5,,205,,522.5,SBD,Single-ply,F
2,Open,82.5,Rani Sunita,India,15/08/1978,80.65,165,80,,160,,405,SBD,Single-ply,F
1,Juniors,82.5,Hemalata Kolluri,India,16/07/1983,80.15,150,70,,142.5,,362.5,SBD,Single-ply,F
1,Sub-Juniors,82.5,Ya-Wen Chang,Taiwan,30/05/1984,80.75,180,80,,180.5,,440,SBD,Single-ply,F
1,Open,90,Thamrin Laurensia,Indonesia,09/06/1977,88.2,215,115,,195,,525,SBD,Single-ply,F
2,Open,90,Yuliya Stesenko,Uzbekistan,17/09/1984,83.25,180,105,,185,,470,SBD,Single-ply,F
3,Open,90,Chitra Thavarajan,India,15/12/1969,87.15,180,80,,150,,410,SBD,Single-ply,F
1,Juniors,90,Chia-Hui Tsai,Taiwan,13/10/1981,84.7,207.5,122.5,,185,,515,SBD,Single-ply,F
1,Sub-Juniors,90,Yuliya Stesenko,Uzbekistan,17/09/1984,83.25,180,105,,185,,470,SBD,Single-ply,F
1,Open,90+,Chen-Yeh Chao,Taiwan,01/12/1971,114.3,250,180,,200,,630,SBD,Single-ply,F
2,Open,90+,Guha Sampa,India,24/04/1967,91.1,205,102.5,,180,,487.5,SBD,Single-ply,F
3,Open,90+,Sharma Mallika,India,26/01/1978,97.85,185,60,,150,,395,SBD,Single-ply,F
1,Sub-Juniors,90+,Ya-Yun Weng,Taiwan,27/09/1984,100.25,175,95,,170,,440,SBD,Single-ply,F
1,Juniors,52,Anand Kumar Pesari,India,22/12/1981,50.7,140,100,,190,,430,SBD,Single-ply,M
1,Sub-Juniors,52,Brasad Naga Vora,India,05/08/1984,51.9,170,97.5,,215,,482.5,SBD,Single-ply,M
1,Open,56,N. Anbu,India,16/06/1978,55.7,232.5,115,,250,266.5,597.5,SBD,Single-ply,M
2,Open,56,Azat Rakhmankulov,Uzbekistan,09/05/1976,55.9,225,115,,250,,590,SBD,Single-ply,M
3,Open,56,Yi-Hsin Kuan,Taiwan,23/01/1982,55.7,175,100,,220,,495,SBD,Single-ply,M
1,Juniors,56,Razvi Khan,India,11/12/1979,55.7,185,105,,230,,520,SBD,Single-ply,M
2,Juniors,56,Dwivedi Alok,India,23/07/1980,55.8,170,130,,190,,490,SBD,Single-ply,M
1,Sub-Juniors,56,Nagappan M,India,04/09/1984,55.9,160,95,,210,,465,SBD,Single-ply,M
2,Sub-Juniors,56,Anand Atul B,India,10/05/1985,53.9,135,85,,135,,355,SBD,Single-ply,M
1,Open,60,Darimin Bin Sutrisno,Indonesia,,59.28,276,170,,270,,716,SBD,Single-ply,M
2,Open,60,Hiroyuki Isagawa,Japan,22/07/1953,59.76,220,193,,235,,647.5,SBD,Single-ply,M
3,Open,60,Tsung-Ting Hsieh,Taiwan,28/03/1982,58,227.5,145,,262.5,,635,SBD,Single-ply,M
4,Open,60,Vijaya Sri Kumar,India,13/02/1968,60,235,145,,255,,635,SBD,Single-ply,M
5,Open,60,Young-Whang Chang,South Korea,19/04/1967,59.24,200,150,,220,,570,SBD,Single-ply,M
6,Open,60,Ravil Nasyrov,Uzbekistan,24/04/1981,59.24,190,120,,200,,510,SBD,Single-ply,M
7,Open,60,Manuel Gomez III,Philippines,07/10/1974,60,100,150,,120,,370,SBD,Single-ply,M
1,Juniors,60,Ajinth,India,18/08/1979,59.54,200,102.5,,250,,552.5,SBD,Single-ply,M
2,Juniors,60,Shekar J. Chandra,India,01/12/1979,59.5,205,125,,210,,540,SBD,Single-ply,M
3,Juniors,60,Kakudate Takeshi,Japan,04/09/1980,60,200,135,,190,,525,SBD,Single-ply,M
4,Juniors,60,Ravil Nasyrov,Uzbekistan,24/04/1981,59.24,190,120,,200,,510,SBD,Single-ply,M
1,Sub-Juniors,60,Chih-Lun Su,Taiwan,29/01/1984,59.52,207.5,130,,235,,572.5,SBD,Single-ply,M
1,Open,67.5,Lung-Hsin Huang,Taiwan,11/01/1981,67.25,245,175,,280,,700,SBD,Single-ply,M
2,Open,67.5,Maxim Lapshin,Kazakhstan,10/07/1979,66.5,280,175,,242.5,,697.5,SBD,Single-ply,M
3,Open,67.5,Sahu Krishna,India,17/12/1967,66.5,235,147.5,,270,,652.5,SBD,Single-ply,M
4,Open,67.5,Noguchi Takahiro,Japan,12/09/1969,67.2,200,162.5,,225,,587.5,SBD,Single-ply,M
5,Open,67.5,Ferdaus Rizvanov,Uzbekistan,19/12/1965,67.25,197.5,115,,242.5,,555,SBD,Single-ply,M
6,Open,67.5,Enrique Rafael Rosales,Philippines,16/08/1976,67.35,210,162.5,,175,,547.5,SBD,Single-ply,M
7,Open,67.5,Chun Fai Lau,Hong Kong,31/07/1965,66.55,170,100,,205,,475,SBD,Single-ply,M
8,Open,67.5,Jung-Su Lee,South Korea,17/02/1967,67.35,160,120,,170,,450,SBD,Single-ply,M
DQ,Open,67.5,Hol Koo Gun,South Korea,,66,,,,,,,SBD,Single-ply,M
1,Juniors,67.5,Maxim Lapshin,Kazakhstan,10/07/1979,66.5,280,175,,242.5,,697.5,SBD,Single-ply,M
1,Sub-Juniors,67.5,Chen-Hsien Lee,Taiwan,29/07/1984,64.75,217.5,105,,257.5,,580,SBD,Single-ply,M
2,Sub-Juniors,67.5,Arvind Borker Chetan,India,28/05/1985,66.65,150,72.5,,172.5,,395,SBD,Single-ply,M
1,Open,75,Alexey Sivokon,Kazakhstan,07/09/1973,71.1,315,225,,312.5,,852.5,SBD,Single-ply,M
2,Open,75,Gianesa Elangovan,India,24/01/1966,75,300,157.5,,265,,722.5,SBD,Single-ply,M
3,Open,75,Vadoakkan Varghese,India,20/05/1971,74.5,250,145,,265,,660,SBD,Single-ply,M
4,Open,75,Ito Manabu,Japan,22/01/1962,74.65,237.5,162.5,,250,,650,SBD,Single-ply,M
5,Open,75,Eiji Yamada,Japan,24/09/1970,73.9,225,167.5,,250,,642.5,SBD,Single-ply,M
6,Open,75,Il Woong Chong,South Korea,29/11/1964,74.1,180,175,,180,,535,SBD,Single-ply,M
DQ,Juniors,75,Mustakim,Indonesia,,71.9,,,,,,,SBD,Single-ply,M
1,Sub-Juniors,75,Dhore Kalpesh B,India,12/10/1984,72.8,150,90,,202.5,,442.5,SBD,Single-ply,M
1,Open,82.5,Davran Turakhanov,Kazakhstan,16/09/1974,77.7,305,175,,305,,785,SBD,Single-ply,M
2,Open,82.5,Jiwan Bisht Shinhgh,India,,82.2,300,175,,302.5,,777.5,SBD,Single-ply,M
3,Open,82.5,Darimin Sahroni,Indonesia,,82.2,275,155,,290,,720,SBD,Single-ply,M
4,Open,82.5,James Bautista,Philippines,05/04/1977,81.8,200,185,,200,,585,SBD,Single-ply,M
5,Open,82.5,Soo Lee Yong,South Korea,24/12/1961,76.75,220,140,,170,,530,SBD,Single-ply,M
1,Juniors,82.5,Chien-Hung Hsieh,Taiwan,23/06/1979,80.35,300,150,,275,,725,SBD,Single-ply,M
2,Juniors,82.5,Nikolay Yessipov,Kazakhstan,02/08/1980,81.4,250,167.5,,272.5,,690,SBD,Single-ply,M
3,Juniors,82.5,Miwa Keigo,Japan,22/05/1981,81.75,250,200,,240,,690,SBD,Single-ply,M
4,Juniors,82.5,Chia-Hao Kuo,,18/04/1981,81.15,260,135,,277.5,,672.5,SBD,Single-ply,M
1,Open,90,Dmitriy Vorona,Kazakhstan,14/06/1983,89.5,327.5,185,,330,,842.5,SBD,Single-ply,M
2,Open,90,Koleswara Rao Sakala,India,10/05/1974,89.1,295,152.5,,327.5,,775,SBD,Single-ply,M
3,Open,90,Konstantin Khardin,Uzbekistan,07/06/1968,86,275,157.5,,315,,747.5,SBD,Single-ply,M
4,Open,90,Joemer De Leon,Philippines,25/10/1969,89.25,125,180,,230,,535,SBD,Single-ply,M
1,Juniors,90,Dmitriy Vorona,Kazakhstan,14/06/1983,89.5,327.5,185,,330,,842.5,SBD,Single-ply,M
2,Juniors,90,Mishra Rajdhar,India,10/02/1980,86.2,235,162.5,,285,,682.5,SBD,Single-ply,M
3,Juniors,90,Chiq-Tsun Chang,Taiwan,31/12/1979,85,200,100,,240,,540,SBD,Single-ply,M
4,Juniors,90,Yong Wan Seo,South Korea,19/05/1982,86.6,150,105,,160,,415,SBD,Single-ply,M
1,Sub-Juniors,90,Jaspreet Singh,India,10/02/1985,87,100,75,,160,,335,SBD,Single-ply,M
1,Open,100,Dmitriy Panfilov,Kazakhstan,16/07/1974,99.2,320,232.5,,322.5,,875,SBD,Single-ply,M
2,Open,100,Alexander Luzanov,Uzbekistan,15/09/1954,90.5,260,200,,305,,765,SBD,Single-ply,M
3,Open,100,Nakamura Hitoshi,Japan,08/01/1968,99.4,320,205,,240,,765,SBD,Single-ply,M
4,Open,100,Peter Edward Torres,Philippines,11/01/1965,99.05,275,172.5,,315,,762.5,SBD,Single-ply,M
5,Open,100,Toora Rajesh,India,20/04/1962,99.8,290,170,,280,,740,SBD,Single-ply,M
6,Open,100,Kazufumi Fukushima,Japan,07/09/1966,97.35,275,175,,275,,725,SBD,Single-ply,M
7,Open,100,Alexander Makarov,Uzbekistan,08/06/1977,97.4,290,200,,50,,540,SBD,Single-ply,M
1,Juniors,100,Singh Mandeep,India,18/12/1982,98.3,300,162.5,,290,,752.5,SBD,Single-ply,M
2,Juniors,100,Wen-Hao Lin,Taiwan,12/03/1979,91.85,280,140,,280,,700,SBD,Single-ply,M
3,Juniors,100,Rastogi Ranjeet Kumar,India,25/07/1979,99.8,280,167.5,,220,,667.5,SBD,Single-ply,M
1,Sub-Juniors,100,Sheng-Min Huang,Taiwan,19/02/1984,95.05,220,120,,240,,580,SBD,Single-ply,M
1,Open,110,Dmitriy Fateyev,Kazakhstan,07/02/1980,103.8,342.5,215,,345,,902.5,SBD,Single-ply,M
2,Open,110,Minami Shigeki,Japan,26/01/1965,107.6,280,240,248,210,,730,SBD,Single-ply,M
3,Open,110,Singh Nirmaljit,India,30/09/1958,106.6,260,160,,282.5,,702.5,SBD,Single-ply,M
4,Open,110,Ching-Tsung Chen,Taiwan,23/04/1978,102.25,270,170,,260,,700,SBD,Single-ply,M
1,Juniors,110,Dmitriy Fateyev,Kazakhstan,07/02/1980,103.8,342.5,215,,345,,902.5,SBD,Single-ply,M
2,Juniors,110,Babu Sri Perumandur,India,02/07/1980,101.7,292.5,160,,220,,672.5,SBD,Single-ply,M
1,Sub-Juniors,110,Singh Gurshoran,India,08/10/1986,107.3,150,75,,180,,405,SBD,Single-ply,M
1,Open,125,Radik Gayanov,Kazakhstan,18/06/1973,110.1,345,230,,300,,875,SBD,Single-ply,M
2,Open,125,Hidenobu Kanie,Japan,21/03/1963,112.1,275,210,,250,,735,SBD,Single-ply,M
3,Open,125,Lavrenty Matynyan,Uzbekistan,20/04/1952,112.8,280,160,,260,,700,SBD,Single-ply,M
DQ,Open,125,Masaharu Ninomiya,Japan,20/06/1961,114.3,275,225,,,,,SBD,Single-ply,M
DQ,Open,125,Xavier Vedamani,India,03/04/1963,117.2,360,,,,,,SBD,Single-ply,M
1,Sub-Juniors,125,Mao-Feng Chung,Taiwan,01/10/1984,115.2,230,145,,240,,615,SBD,Single-ply,M
1,Open,125+,Chien-Hsiung Chao,Taiwan,13/06/1969,147.6,360,235,,320,,915,SBD,Single-ply,M
2,Open,125+,Kumar Naresh,India,18/08/1964,125.1,295,170,,260,,725,SBD,Single-ply,M
1,Juniors,125+,Jaswinder Singh Cheema,India,04/09/1980,148.3,345,205,,240,,790,SBD,Single-ply,M
2,Juniors,125+,Chih-Han Huang,Taiwan,17/02/1981,131.8,302.5,170,,270,,742.5,SBD,Single-ply,M
3,Juniors,125+,Balajee R. Arun,India,18/02/1982,135.7,280,135,,280,,695,SBD,Single-ply,M
1,Sub-Juniors,125+,Sayal Kushal,India,05/03/1984,138.9,200,115,,180,,495,SBD,Single-ply,M
