Sex,Name,Age,BodyWeightLBS,WeightClassLBS,Event,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Country
F,Yvonne Von Stipholt,31,163.8,165,SBD,Open,120,62.5,155,337.5,2,
F,Sachie Dubose,17,160.3,165,SBD,Open,152.5,67.5,167.5,387.5,1,
F,Angie Andras,37,164.3,165,SBD,Sub,97.5,62.5,110,270,1,
F,Lisa Reading,53,174.4,181,SBD,50-54,82.5,52.5,116,251,1,
F,Kellie Born,15,240.6,181+,SBD,14-15,100,57.5,112.5,270,1,
F,Erin Wallace,37,243.3,181+,SBD,Sub,125,70,137.5,332.5,1,
F,Damiyah Smith,11,86.7,88,SBD,10-11,65,42.5,87.5,195,1,
F,Sascha Goldsmith,13,97,97,SBD,12-13,85,40,92.5,217.5,1,
F,Robin Roth,47,96.9,97,SBD,45-49,37.5,32.5,100,170,1,
M,Aaron Brister,10,107.3,114,B,10-11,,35,,35,1,
M,Sean Hartman,13,106.3,114,B,12-13,,37.5,,37.5,1,
M,Logan Smith,19,162.7,165,B,18-19,,127.5,,127.5,1,
M,Martin Hendil,61,163.1,165,B,60-64,,97.5,,97.5,2,Austria
M,Dan McLaughlin,60,163.8,165,B,60-64,,102.5,,102.5,1,
M,Martin Drake,66,164.9,165,B,65-69,,137.5,,137.5,1,
M,John Lopez,81,162.7,165,B,80-84,,107.5,,107.5,1,
M,Henry Fultz,58,181.7,181,B,55-59,,172.5,,172.5,1,
M,Jerry Homer Sr,77,181,181,B,75-79,,117.5,,117.5,1,
M,Alex Sassoon,51,196,198,B,50-54,,90,,90,1,
M,Mark Bryant,59,191,198,B,55-59,,102.5,,102.5,1,
M,Coby Carden,60,197.2,198,B,60-64,,160,,160,1,
M,William Prince,80,197.5,198,B,80-84,,110,,110,1,
M,John Gilmour,95,190.6,198,B,95-99,,75,,75,1,
M,Fernando Ruiz,23,191,198,B,Junior,,115,,115,1,
M,Pavol Guga,28,195.5,198,B,Open,,152.5,,152.5,1,Slovakia
M,Duane Burlingame,60,214.6,220,B,60-64,,123,,123,1,
M,Charlie Jones,68,213.7,220,B,65-69,,127.5,,127.5,1,
M,Duane Burlingame,60,214.6,220,B,Law/Mil,,123,,123,1,
M,James Priete,45,233.8,242,B,45-49,,115,,115,1,
M,Michael Jiminez,53,233.8,242,B,50-54,,157.5,,157.5,1,
M,Michal Capla,70,240.6,242,B,70-74,,110,,110,1,Slovakia
M,Michael Jiminez,53,233.8,242,B,Law/Mil,,157.5,,157.5,1,
M,James Hickey,40,272.8,275,B,40-44,,235,,235,1,Ireland
M,Peter Williams,49,254.3,275,B,45-49,,102.5,,102.5,1,
M,Walter Adkins,73,268.2,275,B,70-74,,117.5,,117.5,1,
M,Josh Henderson,25,272.5,275,B,Open,,175,,175,1,
M,Daniel Mosley,65,328.2,308+,B,65-69,,100,,100,1,
M,Dennis Corprue,31,352,308+,B,Open,,152.5,,152.5,1,
M,Christian Hartman,11,63.4,66,B,10-11,,22.5,,22.5,1,
M,Sean Hartman,13,106.3,114,BD,12-13,,37.5,92.5,130,1,
M,Gordon Santee,71,136.3,148,BD,70-74,,73,150,223,1,
M,Keleka Perkins,15,149.1,165,BD,14-15,,95,67.5,162.5,1,
M,Bill Croft,54,171.2,181,BD,50-54,,137.5,280,417.5,1,
M,Mike Haigwood,75,181,181,BD,75-79,,87.5,105,192.5,1,
M,Brent Boothe,80,179.8,181,BD,80-84,,70,105,175,1,
M,Jacob Furgison,17,194.6,198,BD,16-17,,95,175,270,1,
M,Alex Sassoon,51,196,198,BD,50-54,,90,145,235,2,
M,Kevin Shaw,50,197.1,198,BD,50-54,,155,253,408,1,
M,Mark Sassoon,,,198,BD,50-54,,,,,DQ,
M,Cory Carden,60,197.2,198,BD,60-64,,160,237.5,397.5,1,
M,Derrick Murdock,28,189,198,BD,Law/Mil,,115,182.5,297.5,1,
M,Derrick Murdock,28,189,198,BD,Open,,115,182.5,297.5,1,
M,Duane Burlingame,60,214.6,220,BD,60-64,,123,215.5,338.5,2,
M,Bob Boyles,60,210.2,220,BD,60-64,,127.5,247.5,375,1,
M,Richard Kane,70,216.4,220,BD,70-74,,25,120,145,1,
M,Duane Burlingame,60,214.6,220,BD,Law/Mil,,123,215.5,338.5,1,
M,Ronald Hagen,44,226.4,242,BD,40-44,,147.5,235,382.5,1,
M,Chad Drecksel,63,233.5,242,BD,60-64,,182.5,250,432.5,1,
M,Harold Wooten,65,221.8,242,BD,65-69,,125,200,325,1,
M,David Yancey,70,240.1,242,BD,70-74,,110,175,285,1,
M,Peter Williams,49,254.3,275,BD,45-49,,102.5,137.5,240,1,
M,Josh Henderson,25,272.5,275,BD,Open,,175,265,440,1,
M,John Sincock,60,290,308,BD,60-64,,65,127.5,192.5,1,
M,Kody Mitchell,21,329,308+,BD,Junior,,92.5,150,242.5,1,
M,Christian Hartman,11,63.4,66,BD,10-11,,22.5,55,77.5,1,
M,Lorenzo Stewart,11,97.7,105,D,10-11,,,70.5,70.5,1,
M,Peter Wallace,10,114,114,D,10-11,,,72.5,72.5,2,
M,Aaron Brister,10,107.3,114,D,10-11,,,80,80,1,
M,Sean Hartman,13,106.3,114,D,12-13,,,92.5,92.5,1,
M,Carlos Medinia,15,112.8,114,D,14-15,,,112.5,112.5,2,
M,Juan Medina,15,114.3,114,D,14-15,,,115,115,1,
M,Talen Jackson,15,144.3,148,D,14-15,,,158,158,1,
M,Keleka Perkins,15,149.1,165,D,14-15,,,67.5,67.5,1,
M,Martin Hendil,61,163.1,165,D,60-64,,,207.5,207.5,1,Austria
M,James Daws,27,148,165,D,Law/Mil,,,212.5,212.5,1,
M,James Daws,27,148,165,D,Open,,,212.5,212.5,1,
M,Bill Croft,54,171.2,181,D,50-54,,,280,280,1,
M,Frankie Rongo,57,176.3,181,D,55-59,,,223,223,1,
M,Gene Alexander,69,180,181,D,65-69,,,205,205,1,
M,Bill Croft,54,171.2,181,D,Open,,,280,280,1,
M,Ben Nemo,42,188.7,198,D,40-44,,,200,200,1,
M,Mark Bryant,59,191,198,D,55-59,,,187.5,187.5,1,
M,Tom Smith,71,197.3,198,D,70-74,,,195,195,2,
M,Gary Young,73,198,198,D,70-74,,,232.5,232.5,1,
M,Fernando Ruiz,23,191,198,D,Junior,,,175,175,1,
M,Greg Edgerton,30,192.7,198,D,Open,,,215,215,1,
M,Duane Burlingame,60,214.6,220,D,60-64,,,215.5,215.5,2,
M,Bob Boyles,60,210.2,220,D,60-64,,,247.5,247.5,1,
M,Duane Burlingame,60,214.6,220,D,Law/Mil,,,215.5,215.5,1,
M,James Priete,45,233.8,242,D,45-49,,,135,135,1,
M,David Yancey,70,240.1,242,D,70-74,,,175,175,1,
M,Eddie Macias,27,,242,D,Open,,,167.5,167.5,1,
M,Jason Dalen,51,399.6,308+,D,50-54,,,227.5,227.5,1,
M,Jason Dalen,51,399.6,308+,D,Law/Mil,,,227.5,227.5,1,
M,Christian Hartman,11,63.4,66,D,10-11,,,55,55,1,
M,Oliver Stewart,9,73.1,77,D,8-9,,,55,55,1,
M,Damien De La Vega,12,,88,D,12-13,,,80,80,1,
M,Aaron Brister,10,107.3,114,SBD,10-11,40,35,80,155,1,
M,Sean Hartman,13,106.3,114,SBD,12-13,67.5,37.5,92.5,197.5,1,
M,Carlos Medinia,15,112.8,114,SBD,14-15,85,52.5,112.5,250,2,
M,Juan Medina,15,114.3,114,SBD,14-15,85,62.5,115,262.5,1,
M,Luis Sotello,20,110.7,114,SBD,Junior,120,77.5,195,392.5,1,
M,Dallas Joe,18,131.3,132,SBD,18-19,167.5,120,160,447.5,1,
M,Patrick Blevins,16,134.2,148,SBD,16-17,102.5,52.5,117.5,272.5,1,
M,Rose Pristell,58,146.4,148,SBD,55-59,140,112.5,210,462.5,1,
M,Jerry Moylan,64,145.2,148,SBD,60-64,137.5,65,122.5,325,1,
M,Lee Luedecker,66,148.4,148,SBD,65-69,112.5,92.5,173,378,1,
M,Gordon Santee,71,136.3,148,SBD,70-74,75,73,150,298,1,
M,Lee Luedecker,66,148.4,148,SBD,Law/Mil,112.5,92.5,173,378,2,
M,James Daws,27,148,148,SBD,Law/Mil,160,95,212.5,467.5,1,
M,James Daws,27,148,148,SBD,Open,160,95,212.5,467.5,1,
M,Keleka Perkins,15,149.1,165,SBD,14-15,75,95,67.5,237.5,1,
M,Marty Scales,60,164.4,165,SBD,60-64,102.5,87.5,150,340,2,
M,Donald Walker,64,149.6,165,SBD,60-64,147.5,80,165,392.5,1,
M,William Hosken,80,,165,SBD,80-84,,,,,DQ,
M,Dustin Guzman,26,164.9,165,SBD,Life,185,127.5,210,522.5,1,
M,Bryon Woods,35,161.1,165,SBD,Sub,170,110,240,520,1,
M,Hunter Lindauer,14,180.9,181,SBD,14-15,125,70,167.5,362.5,1,
M,Frankie Rongo,57,176.3,181,SBD,55-59,140,105,223,468,1,
M,Raymond Fougnier,74,181.6,181,SBD,70-74,140,85,190.5,415.5,1,
M,Evan Kiss,25,171.8,181,SBD,Open,172.5,117.5,185,475,3,
M,Aron Hutchinson,26,176.8,181,SBD,Open,197.5,145,190,532.5,2,
M,Kareen Waheezaay,35,172.3,181,SBD,Open,245,165,195,605,1,Nigeria
M,Darrell Lutz,40,192.5,198,SBD,40-44,167.5,127.5,202.5,497.5,1,
M,William Quick,52,194.5,198,SBD,50-54,192.5,132.5,220,545,1,
M,Derrick Murdock,28,189,198,SBD,Law/Mil,175,115,182.5,472.5,1,
M,Danny Henry,45,220.4,220,SBD,45-49,190,140,290,620,1,
M,Jerry Homer Jr,55,219.8,220,SBD,55-59,260,165,235,660,1,
M,Bob Boyles,60,210.2,220,SBD,60-64,185,127.5,247.5,560,1,
M,Greg Ewing,36,213,220,SBD,Law/Mil,242.5,165,265,672.5,1,
M,Brad Wilson,28,219.9,220,SBD,Open,230,147.5,260,637.5,2,
M,Greg Ewing,36,213,220,SBD,Open,242.5,165,265,672.5,1,
M,Greg Ewing,36,213,220,SBD,Sub,242.5,165,265,672.5,1,
M,Tony Quincy,47,236.8,242,SBD,45-49,140,147.5,260,547.5,2,
M,Kevin Dixon,45,228.7,242,SBD,45-49,250,152.5,250,652.5,1,
M,Chad Drecksel,63,233.5,242,SBD,60-64,240,182.5,250,672.5,1,
M,David Yancey,70,240.1,242,SBD,70-74,163.5,110,175,448.5,1,
M,Rick Chavez,60,253.2,275,SBD,60-64,242.5,62.5,242.5,547.5,1,
M,Paul Wrenn,70,253.9,275,SBD,70-74,187.5,77.5,190,455,1,
M,Rick Chavez,60,253.2,275,SBD,Law/Mil,242.5,62.5,242.5,547.5,1,
M,Rick Chavez,60,253.2,275,SBD,Life,242.5,62.5,242.5,547.5,1,
M,Rick Chavez,60,253.2,275,SBD,Open,242.5,62.5,242.5,547.5,2,
M,Josh Henderson,25,272.5,275,SBD,Open,260,175,265,700,1,
M,Zachary Palacios,23,305.7,308,SBD,Junior,220,155,295,670,1,
M,Zachary Palacios,23,305.7,308,SBD,Open,220,155,295,670,1,
M,Dennis Corprue,31,352,308+,SBD,Open,215,152.5,227.5,595,2,
M,Richard Castillo,25,337.6,308+,SBD,Open,265,230,277.5,772.5,1,
M,Christian Hartman,11,63.4,66,SBD,10-11,37.5,22.5,55,115,1,
