OPL Format v1,Submit by email:,issues@openpowerlifting.org,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Formula,,,,,,,,,,,,,,,,,,,
2,Jenny Jessica Laboriante,,F,1981,41,,,Raw,Women's Master 1,64.75,69,75,-87.5,92.5,92.5,32.5,37.5,-42.5,37.5,80,95,105,105,235,SBD
1,Joanne Christy Pichay,,F,Invalid date,NaN,,,Raw,Women's Master 1,87.3,84+,80,95,110,110,35,45,-50,45,120,135,137.5,137.5,292.5,SBD
1,Rowena Juico,,F,1968,54,,,Raw,Women's Master 2,64.6,69,70,72.5,80,80,30,35,-40,35,80,87.5,92.5,92.5,207.5,SBD
1,Amber Villanueva,,F,2009,13,,,Raw,Women's Novice,43,43,45,-55,55,55,22.5,25,-27.5,25,60,70,-75,70,150,SBD
1,Angelika Mariz Illorde,,F,1998,24,,,Raw,Women's Novice,45.6,47,87.5,92.5,97.5,97.5,52.5,55,57.5,57.5,120,125,-130,125,280,SBD
2,Marinella Joyce Quilang,,F,1996,26,,,Raw,Women's Novice,44.8,47,75,85,90,90,47.5,52.5,55,55,105,115,122.5,122.5,267.5,SBD
3,Sherilyn Kate Saporno,,F,1998,24,,,Raw,Women's Novice,44.75,47,55,65,70,70,27.5,30,-35,30,-110,110,115,115,215,SBD
1,Patricia Elise Siao,,F,1997,25,,,Raw,Women's Novice,52,52,95,102.5,-110,102.5,47.5,52.5,-57.5,52.5,132.5,142.5,150,150,305,SBD
2,Sandra Pe�alba,,F,1989,33,,,Raw,Women's Novice,51.45,52,85,90,97.5,97.5,30,35,40,40,120,132.5,142.5,142.5,280,SBD
3,Heisel Khate De Vera,,F,2002,20,,,Raw,Women's Novice,50.25,52,92.5,100,-108,100,40,-42.5,-42.5,40,117.5,125,-127.5,125,265,SBD
4,Mary Grace Opamil,,F,1986,36,,,Raw,Women's Novice,51.55,52,60,62.5,75,75,30,42.5,47.5,47.5,90,105,110,110,232.5,SBD
5,Kezzia Beatriz Velasquez,,F,2004,18,,,Raw,Women's Novice,51.35,52,-75,82.5,-87.5,82.5,40,-42.5,-42.5,40,77.5,82.5,87.5,87.5,210,SBD
6,Jenna Mae Canarias,,F,2000,22,,,Raw,Women's Novice,50.1,52,70,75,82.5,82.5,27.5,30,-32.5,30,85,95,-100,95,207.5,SBD
7,Lara Joice Gregorio Carlos,,F,Invalid date,NaN,,,Raw,Women's Novice,50.45,52,57.5,60,65,65,32.5,-37.5,-37.5,32.5,85,92.5,102.5,102.5,200,SBD
8,Praxilyn Cabangon,,F,2002,20,,,Raw,Women's Novice,51.35,52,-65,65,-70,65,25,30,-32.5,30,95,100,-105,100,195,SBD
9,Jasmine Bernadette Cagara,,F,1996,27,,,Raw,Women's Novice,51.4,52,60,67.5,-75,67.5,25,30,35,35,65,75,85,85,187.5,SBD
1,Antoniette Ery Pabayo,,F,2001,22,,,Raw,Women's Novice,56.85,57,-110,110,-115,110,-50,-50,50,50,115,-120,120,120,280,SBD
2,Zoe Jane Varona,,F,Invalid date,NaN,,,Raw,Women's Novice,56.45,57,95,100,105,105,40,42.5,-45,42.5,115,122.5,-127.5,122.5,270,SBD
3,Athila Ian Marie Surtido,,F,2004,18,,,Raw,Women's Novice,56.9,57,85,-90,95,95,45,50,-55,50,110,120,-122.5,120,265,SBD
4,Ruru Gallyle Ventura,,F,2001,21,,,Raw,Women's Novice,56.9,57,90,97.5,-102.5,97.5,45,-50,-50,45,95,105,120,120,262.5,SBD
5,Ayssa Roseth Gastardo,,F,1999,23,,,Raw,Women's Novice,56.4,57,-80,80,-90,80,40,45,-47.5,45,105,112.5,120,120,245,SBD
6,Nicolette Edna David,,F,2005,17,,,Raw,Women's Novice,55.15,57,70,-77.5,77.5,77.5,42.5,-47.5,-47.5,42.5,95,102.5,110,110,230,SBD
7,Ma. Allyana Victoria Cello,,F,Invalid date,NaN,,,Raw,Women's Novice,53.7,57,-75,75,80,80,27.5,30,35,35,95,105,-115,105,220,SBD
1,Anjelika Marie Gancayco,,F,1994,28,,,Raw,Women's Novice,62.45,63,-110,110,115,115,78,80.5,-82.5,80.5,152.5,160,-162.5,160,355.5,SBD
2,Maritoni Elline Neri,,F,2002,20,,,Raw,Women's Novice,62.05,63,120.5,130.5,135,135,60.5,67.5,-70.5,67.5,125,135,141,141,343.5,SBD
3,Roseanne Liao,,F,1994,28,,,Raw,Women's Novice,61,63,85,100,107.5,107.5,47.5,55,-60,55,115,127.5,-140,127.5,290,SBD
4,Ranielle Chelsie Co,,F,2001,21,,,Raw,Women's Novice,60.1,63,90,100,107.5,107.5,45,50,-52.5,50,115,122.5,127.5,127.5,285,SBD
5,Jomara Chan,,F,1980,42,,,Raw,Women's Novice,60.3,63,95,100,105,105,37.5,40,-42.5,40,120,127.5,-135,127.5,272.5,SBD
6,Abigail Betos,,F,1995,27,,,Raw,Women's Novice,62.25,63,67.5,85,100,100,32.5,42.5,-47.5,42.5,100,115,125,125,267.5,SBD
7,Jun Nannichi,,F,1988,35,,,Raw,Women's Novice,62.1,63,90,95,100,100,47.5,-52.5,52.5,52.5,100,110,-115,110,262.5,SBD
8,Julieann Santos,,F,1995,27,,,Raw,Women's Novice,61.05,63,87.5,-92.5,95,95,27.5,32.5,-40,32.5,110,-117.5,117.5,117.5,245,SBD
9,Mikhaila Theresa Ortega,,F,1993,30,,,Raw,Women's Novice,61.9,63,80,-90,90,90,40,-45,-45,40,100,110,-115,110,240,SBD
1,Andrea Villania,,F,1995,27,,,Raw,Women's Novice,68.7,69,120,-127.5,-127.5,120,57.5,-62.5,-62.5,57.5,150,157.5,160,160,337.5,SBD
2,Fredelyn Sayod,,F,1989,33,,,Raw,Women's Novice,67.4,69,90,-100,100,100,45,55,-57.5,55,130,140,-145,140,295,SBD
3,Alaissa Mariel Dimdam,,F,1999,23,,,Raw,Women's Novice,67.8,69,100,110,-115,110,-45,47.5,-55,47.5,130,137.5,-145,137.5,295,SBD
4,Diana F. David,,F,1997,25,,,Raw,Women's Novice,67.95,69,105,-112.5,-112.5,105,47.5,-50,-50,47.5,120,125,-130,125,277.5,SBD
5,Myryll Villarey,,F,1991,31,,,Raw,Women's Novice,64.85,69,90,92.5,97.5,97.5,40,42.5,-45,42.5,100,107.5,117.5,117.5,257.5,SBD
6,Sharmaine Chloe Dobuyan,,F,2003,19,,,Raw,Women's Novice,63.35,69,80,90,95,95,27.5,32.5,-37.5,32.5,110,-130,,110,237.5,SBD
7,Jenny Jessica Laboriante,,F,1981,41,,,Raw,Women's Novice,64.75,69,75,-87.5,92.5,92.5,32.5,37.5,-42.5,37.5,80,95,105,105,235,SBD
1,Kate Gomez,,F,1998,25,,,Raw,Women's Novice,70.1,76,105,110,-120,110,42.5,47.5,-52.5,47.5,110,117.5,-125,117.5,275,SBD
2,Mhisha Marie Cuyson,,F,1993,29,,,Raw,Women's Novice,71.4,76,85,92.5,95,95,47.5,52.5,-55.5,52.5,112.5,117.5,125,125,272.5,SBD
1,Francis Nicole Figueroa,,F,Invalid date,NaN,,,Raw,Women's Novice,80.75,84,145,150,155,155,65,72.5,77.5,77.5,180,190,206,206,438.5,SBD
2,Marian Hannah Louise Vailoces,,F,1996,26,,,Raw,Women's Novice,81.8,84,-110,110,120,120,55,-60,-60,55,125,135,140,140,315,SBD
1,Maria Alyssa Chloe Mae Grant,,F,1996,26,,,Raw,Women's Novice,90.5,84+,115,120,130,130,60,62.5,-70,62.5,120,140,147.5,147.5,340,SBD
2,Darryle Emanuelle Soriano Tangco,,F,2002,20,,,Raw,Women's Novice,87.9,84+,-115,-120,120,120,50,-55,-55,50,120,125,135,135,305,SBD
3,Joanne Christy Pichay,,F,Invalid date,NaN,,,Raw,Women's Novice,87.3,84+,80,95,110,110,35,45,-50,45,120,135,137.5,137.5,292.5,SBD
4,Nicole Mapili,,F,1997,25,,,Raw,Women's Novice,86.5,84+,-82.5,82.5,-95,82.5,40,-45,-45,40,80,90,100,100,222.5,SBD
1,Angela Aura Gonzalvo,,F,1997,26,,,Raw,Women's Open,46.7,47,105,112.5,117.5,117.5,52.5,55,57.5,57.5,130,137.5,-145,137.5,312.5,SBD
2,Shiela Mae Villasica,,F,1989,33,,,Raw,Women's Open,46.25,47,107.5,-112.5,112.5,112.5,55,-60,60,60,130,135,-145,135,307.5,SBD
3,Angelika Mariz Illorde,,F,1998,24,,,Raw,Women's Open,45.6,47,87.5,92.5,97.5,97.5,52.5,55,57.5,57.5,120,125,-130,125,280,SBD
4,Kaira Micaela Gonzales,,F,2002,20,,,Raw,Women's Open,45.35,47,75,82.5,-90,82.5,52.5,-57.5,-57.5,52.5,115,122.5,-127.5,122.5,257.5,SBD
DQ,Arnee Filia Soriano,,F,2002,20,,,Raw,Women's Open,,47,,,,,,,,,,,,,,SBD
1,Jeremy Reign Bautista,,F,1999,24,,,Raw,Women's Open,51.25,52,115,120,-130.5,120,-77.5,80,-87.5,80,150,-160,-160,150,350,SBD
2,Ellyssa Marie Salas,,F,1996,26,,,Raw,Women's Open,50.6,52,-100,100,107.5,107.5,70,72.5,77.5,77.5,-132.5,135,142.5,142.5,327.5,SBD
3,Patricia Elise Siao,,F,1997,25,,,Raw,Women's Open,52,52,95,102.5,-110,102.5,47.5,52.5,-57.5,52.5,132.5,142.5,150,150,305,SBD
4,Raycel Esperanza,,F,1998,25,,,Raw,Women's Open,51.45,52,-90,-90,90,90,42.5,45,47.5,47.5,112.5,117.5,120,120,257.5,SBD
5,Jasmine Bernadette Cagara,,F,1996,27,,,Raw,Women's Open,51.4,52,60,67.5,-75,67.5,25,30,35,35,65,75,85,85,187.5,SBD
1,Jane Erasmo,,F,2003,20,,,Raw,Women's Open,55.25,57,100,110,120,120,70,75,77.5,77.5,140,150,-155,150,347.5,SBD
2,Risabel Tan Valle,,F,Invalid date,NaN,,,Raw,Women's Open,55.25,57,120,125,130,130,57.5,60,-65,60,130,135,140,140,330,SBD
3,Alessandra Leonina G. Eco,,F,2004,18,,,Raw,Women's Open,53.8,57,110,115,117.5,117.5,62.5,67.5,70,70,127.5,-135,-137.5,127.5,315,SBD
4,Maria Irish Atienza,,F,2001,21,,,Raw,Women's Open,55.6,57,75,80,-82.5,80,-42.5,42.5,-45,42.5,115,-122.5,122.5,122.5,245,SBD
5,Ayssa Roseth Gastardo,,F,1999,23,,,Raw,Women's Open,56.4,57,-80,80,-90,80,40,45,-47.5,45,105,112.5,120,120,245,SBD
DQ,Ronah Mae Hayana,,F,1997,26,,,Raw,Women's Open,,57,,,,,,,,,,,,,,SBD
1,Anya Dara Pinzon,,F,Invalid date,NaN,,,Raw,Women's Open,61.5,63,135,140,143,143,75,77.5,80,80,173,177.5,-180,177.5,400.5,SBD
2,Anjelika Marie Gancayco,,F,1994,28,,,Raw,Women's Open,62.45,63,-110,110,115,115,78,80.5,-82.5,80.5,152.5,160,-162.5,160,355.5,SBD
3,Maritoni Elline Neri,,F,2002,20,,,Raw,Women's Open,62.05,63,120.5,130.5,135,135,60.5,67.5,-70.5,67.5,125,135,141,141,343.5,SBD
4,Seth Russel Norman,,F,1997,25,,,Raw,Women's Open,60.35,63,117.5,-122.5,125,125,60,-62.5,-62.5,60,135,142.5,-152.5,142.5,327.5,SBD
5,Angela Kristell Borromeo,,F,2002,21,,,Raw,Women's Open,62.6,63,107.5,112.5,120,120,45,50,-55,50,137.5,145,152.5,152.5,322.5,SBD
6,Frances Mae Balangitan,,F,1997,25,,,Raw,Women's Open,63,63,110,-112.5,-115,110,47.5,50,-55,50,130,135,140,140,300,SBD
7,Roseanne Liao,,F,1994,28,,,Raw,Women's Open,61,63,85,100,107.5,107.5,47.5,55,-60,55,115,127.5,-140,127.5,290,SBD
8,Jomara Chan,,F,1980,42,,,Raw,Women's Open,60.3,63,95,100,105,105,37.5,40,-42.5,40,120,127.5,-135,127.5,272.5,SBD
9,Mikhaila Theresa Ortega,,F,1993,30,,,Raw,Women's Open,61.9,63,80,-90,90,90,40,-45,-45,40,100,110,-115,110,240,SBD
1,Rikki Dianne Saul,,F,1996,27,,,Raw,Women's Open,67.9,69,-125,125,132.5,132.5,62.5,65,-67.5,65,165,175,-180,175,372.5,SBD
2,Christine Erine Alejandro,,F,1992,30,,,Raw,Women's Open,66.75,69,110,125,133,133,65.5,70.5,73,73,155,162.5,-180.5,162.5,368.5,SBD
3,Andrea Villania,,F,1995,27,,,Raw,Women's Open,68.7,69,120,-127.5,-127.5,120,57.5,-62.5,-62.5,57.5,150,157.5,160,160,337.5,SBD
4,Katherine Erika Acero,,F,1990,32,,,Raw,Women's Open,68.9,69,110,117.5,120,120,67.5,72.5,74,74,120,132.5,-145,132.5,326.5,SBD
5,Fredelyn Sayod,,F,1989,33,,,Raw,Women's Open,67.4,69,90,-100,100,100,45,55,-57.5,55,130,140,-145,140,295,SBD
6,Alaissa Mariel Dimdam,,F,1999,23,,,Raw,Women's Open,67.8,69,100,110,-115,110,-45,47.5,-55,47.5,130,137.5,-145,137.5,295,SBD
7,Diana F. David,,F,1997,25,,,Raw,Women's Open,67.95,69,105,-112.5,-112.5,105,47.5,-50,-50,47.5,120,125,-130,125,277.5,SBD
8,Juanna Andrea Escoton,,F,2003,20,,,Raw,Women's Open,67.5,69,95,105,-115,105,35,-40,-40,35,110,-120,120,120,260,SBD
1,Micah Abando,,F,1991,32,,,Raw,Women's Open,74.9,76,145,-155,-155,145,62.5,-65,-65,62.5,167.5,172.5,-180,172.5,380,SBD
2,Maria Michaela Mizal,,F,1995,27,,,Raw,Women's Open,71.3,76,130,137.5,-142.5,137.5,60,65,70,70,140,150,-155,150,357.5,SBD
3,April Iris Williams,,F,2007,16,,,Raw,Women's Open,74.8,76,122.5,-135,-140,122.5,60,65,-67.5,65,155,-170,-175,155,342.5,SBD
4,Patrizia Zaril Alberto,,F,1994,28,,,Raw,Women's Open,74.95,76,120,125,-132.5,125,60,65,67.5,67.5,130,137.5,142.5,142.5,335,SBD
5,Mhisha Marie Cuyson,,F,1993,29,,,Raw,Women's Open,71.4,76,85,92.5,95,95,47.5,52.5,-55.5,52.5,112.5,117.5,125,125,272.5,SBD
6,Mariel Badol,,F,1998,24,,,Raw,Women's Open,72.2,76,-105,-105,107.5,107.5,45,-50,-50,45,105,107.5,110,110,262.5,SBD
1,Joyce Gail Reboton,,F,1992,31,,,Raw,Women's Open,77.3,84,192.5,197.5,200.5,200.5,95,100.5,103,103,193,200.5,-206.5,200.5,504,SBD
2,Francis Nicole Figueroa,,F,Invalid date,NaN,,,Raw,Women's Open,80.75,84,145,150,155,155,65,72.5,77.5,77.5,180,190,206,206,438.5,SBD
3,Ada Christine Dela Cruz,,F,1993,29,,,Raw,Women's Open,83.65,84,130,135,137.5,137.5,77.5,-80,-80,77.5,160,-165,-165,160,375,SBD
4,Clara Angelica Buenconsejo,,F,1991,32,,,Raw,Women's Open,83.2,84,120,130,132.5,132.5,57.5,62.5,65,65,132.5,145,-150,145,342.5,SBD
1,Charlene Raye Tugade,,F,1998,24,,,Raw,Women's Open,86.35,84+,150,-155,160,160,65,70,75,75,167.5,175,-180.5,175,410,SBD
2,Trina Krizelda Oandasan,,F,1997,25,,,Raw,Women's Open,100.2,84+,152.5,162.5,167.5,167.5,60,-65,65,65,147.5,157.5,162.5,162.5,395,SBD
3,Maria Alyssa Chloe Mae Grant,,F,1996,26,,,Raw,Women's Open,90.5,84+,115,120,130,130,60,62.5,-70,62.5,120,140,147.5,147.5,340,SBD
4,Joanne Christy Pichay,,F,Invalid date,NaN,,,Raw,Women's Open,87.3,84+,80,95,110,110,35,45,-50,45,120,135,137.5,137.5,292.5,SBD
1,Amber Villanueva,,F,2009,13,,,Raw,Women's Sub-Junior,43,43,45,-55,55,55,22.5,25,-27.5,25,60,70,-75,70,150,SBD
1,Nicolette Edna David,,F,2005,17,,,Raw,Women's Sub-Junior,55.15,57,70,-77.5,77.5,77.5,42.5,-47.5,-47.5,42.5,95,102.5,110,110,230,SBD
1,Sabina Mae Santos,,F,1992,31,,,Raw,Women's Sub-Junior,74.55,76,125,-132.5,-132.5,125,50,55,-57.5,55,137.5,147.5,-152.5,147.5,327.5,SBD
1,Arnold James Dela Cruz II,,M,2003,19,,,Raw,Men's Guest Lifter,88.3,All,157.5,162.5,167.5,167.5,105,110,115,115,192.5,-200,202.5,202.5,485,SBD
2,Lord Christopher Sr Manigque,,M,1970,52,,,Raw,Men's Guest Lifter,79.05,All,160,165,-170,165,80,85,90,90,200,205,-210,205,460,SBD
1,Daniel Bacdang,,M,2001,21,,,Raw,Men's Junior,51.4,53,145,-150,-150,145,-87.5,87.5,-90,87.5,170,185,-190,185,417.5,SBD
2,Lhanze Cedric Cortez,,M,2002,20,,,Raw,Men's Junior,51.25,53,105,112.5,-117.5,112.5,55,60,-65,60,130,135,-137.5,135,307.5,SBD
3,Cirilo III Dayao,,M,2002,21,,,Raw,Men's Junior,52.65,53,85,92.5,97.5,97.5,50,55,-60,55,110,120,-125,120,272.5,SBD
1,Kyle Jan Cumpio,,M,2002,20,,,Raw,Men's Junior,57.8,59,-190,190,-192.5,190,100,-105,,100,240,-247.5,-247.5,240,530,SBD
2,Antonio Baes,,M,2003,19,,,Raw,Men's Junior,58.45,59,132.5,142.5,147.5,147.5,107.5,115,-121,115,167.5,-180,180,180,442.5,SBD
3,John Casey Bandiola,,M,2000,23,,,Raw,Men's Junior,,59,-90,90,110,110,60,70,-77.5,70,100,110,122.5,122.5,302.5,SBD
1,Alexei Laurenz L. Agabon,,M,2003,19,,,Raw,Men's Junior,60.45,66,180,190.5,200,200,107.5,115,-120,115,230,240,256,256,571,SBD
2,Maphi Daniel Polvora,,M,2002,20,,,Raw,Men's Junior,64.2,66,180,187.5,192.5,192.5,125,132.5,137.5,137.5,220,230,-240,230,560,SBD
3,Miles David Magtulis,,M,2000,23,,,Raw,Men's Junior,65.3,66,165,175,182.5,182.5,122.5,127.5,132.5,132.5,200,212.5,217.5,217.5,532.5,SBD
4,Jason Banzuela,,M,2001,21,,,Raw,Men's Junior,65.1,66,-160,160,-165,160,105,115,117.5,117.5,210,220,230,230,507.5,SBD
5,Francis Gabriel Hatulan,,M,2000,22,,,Raw,Men's Junior,64.4,66,175,-182.5,182.5,182.5,100,105,,105,205,212.5,217.5,217.5,505,SBD
6,Severino Gapusan,,M,2000,22,,,Raw,Men's Junior,66,66,165,175,185,185,-95,95,102.5,102.5,185,197.5,-210,197.5,485,SBD
7,Rayven Villasotes,,M,2004,18,,,Raw,Men's Junior,64.35,66,170,175,177.5,177.5,80,87.5,92.5,92.5,210,-220,-220,210,480,SBD
8,John Falcon Keoni Dylim,,M,2004,18,,,Raw,Men's Junior,64.25,66,-162.5,162.5,170,170,100,105,-110,105,185,192.5,202.5,202.5,477.5,SBD
9,Kevin Nicolas F. Marquez,,M,2002,20,,,Raw,Men's Junior,65.45,66,-157.5,165,-170,165,102.5,107.5,-110,107.5,-180,180,190,190,462.5,SBD
10,Joaquin Buan,,M,2004,18,,,Raw,Men's Junior,62.9,66,162.5,172.5,175,175,80,85,87.5,87.5,185,195,-200,195,457.5,SBD
11,Allan Rey Rosco,,M,2004,18,,,Raw,Men's Junior,65.15,66,137.5,145,150,150,90,95,-97.5,95,182.5,195,210,210,455,SBD
12,Martin Flores,,M,2000,23,,,Raw,Men's Junior,62.8,66,145,147.5,155,155,92.5,97.5,-102.5,97.5,155,165,175,175,427.5,SBD
13,Juan Emmanuel Dizon,,M,2002,21,,,Raw,Men's Junior,63.75,66,-140,140,147.5,147.5,92.5,97.5,-100,97.5,-172.5,172.5,180,180,425,SBD
14,Michael Lawrence Homeres,,M,2003,20,,,Raw,Men's Junior,64.65,66,-130,135,-145,135,-95,-95,95,95,190,-205,-205,190,420,SBD
15,Wiljhan Pajulas,,M,2002,20,,,Raw,Men's Junior,63.25,66,135,140,145,145,75,77.5,-80,77.5,180,187.5,195,195,417.5,SBD
16,Vernard Agarpao,,M,2004,18,,,Raw,Men's Junior,64.95,66,120,130,135,135,67.5,70,75,75,165,172.5,-180,172.5,382.5,SBD
17,John Carlo Sison,,M,2003,20,,,Raw,Men's Junior,64.85,66,127.5,130,-142.5,130,65,-70,-72.5,65,165,175,-185,175,370,SBD
DQ,Anthony Bugante,,M,2004,19,,,Raw,Men's Junior,64.9,66,127.5,-137.5,140,140,77.5,-85,-85,77.5,-180,-187.5,-187.5,,,SBD
DQ,Vito Angeles,,M,2003,19,,,Raw,Men's Junior,,66,,,,,,,,,,,,,,SBD
1,Robert Diel Abdao,,M,2000,22,,,Raw,Men's Junior,72.85,74,205,215,217.5,217.5,120,125,127.5,127.5,235,245,255,255,600,SBD
2,Angelo Miguel Galon,,M,2003,20,,,Raw,Men's Junior,73.2,74,200,-210,215,215,125,135,-140,135,205,-220,225,225,575,SBD
3,Cristian Joy Aphrilis Salazar,,M,2001,22,,,Raw,Men's Junior,73.3,74,185,195,202.5,202.5,120,127.5,-130,127.5,215,227.5,-240,227.5,557.5,SBD
4,Christopher James Eden,,M,2002,20,,,Raw,Men's Junior,74,74,170,-180,-180,170,105,107.5,-110,107.5,210,220,230,230,507.5,SBD
5,Janssen Allen Rendon,,M,2003,19,,,Raw,Men's Junior,72.7,74,170,172.5,-185,172.5,100,-105,-105,100,195,197.5,-210,197.5,470,SBD
6,Ivan William Viray,,M,2001,22,,,Raw,Men's Junior,72.7,74,145,150,157.5,157.5,97.5,105,-110,105,172.5,180,190,190,452.5,SBD
7,Allen Andro Animos,,M,2004,18,,,Raw,Men's Junior,69.55,74,150,155,157.5,157.5,95,-102.5,102.5,102.5,180,187.5,-195,187.5,447.5,SBD
8,Matthew Wilfred Barrientos,,M,2001,21,,,Raw,Men's Junior,71.6,74,-160,160,-170,160,80,82.5,87.5,87.5,185,190,195,195,442.5,SBD
